| Economy | Ethiopia |
| Household income or consumption by percentage share: | lowest 10%: 4.1% |
| Household income or consumption by percentage share: | highest 10%: 25.6% (2005) |
| Distribution of family income - Gini index: | 33 (2011) |
| Distribution of family income - Gini index: | 30 (2000) |
| Budget: | revenues: $6.702 billion |
| Budget: | expenditures: $8.042 billion (2013 est.) |
| Taxes and other revenues: | 14.2% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -2.8% of GDP (2013 est.) |
| Public debt: | 50.4% of GDP (2013 est.) |
| Public debt: | 39.7% of GDP (2012 est.) |
| Public debt: | note: official data cover central government debt, including debt instruments issued (or owned) by government entities other than the treasury and treasury debt owned by foreign entities; the data exclude debt issued by subnational entities, as well as intragovernmental debt; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | 8 July - 7 July |
| Inflation rate (consumer prices): | 8.4% (2013 est.) |
| Inflation rate (consumer prices): | 22.9% (2012 est.) |
| Central bank discount rate: | NA% |
| Commercial bank prime lending rate: | 12% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 14.5% (31 December 2012 est.) |
| Stock of narrow money: | $9.006 billion (31 December 2013 est.) |
| Stock of narrow money: | $9.107 billion (31 December 2012 est.) |
| Stock of broad money: | $15.43 billion (31 December 2013 est.) |
| Stock of broad money: | $15.45 billion (31 December 2012 est.) |
| Stock of domestic credit: | $16.07 billion (31 December 2013 est.) |
| Stock of domestic credit: | $16.09 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$2.744 billion (2013 est.) |
| Current account balance: | -$2.031 billion (2012 est.) |
| Exports: | $3.214 billion (2013 est.) |
| Exports: | $3.039 billion (2012 est.) |
| Exports - commodities: | coffee, khat, gold, leather products, live animals, oilseeds |
| Exports - partners: | China 13%, Germany 10.8%, US 8%, Belgium 7.7%, Saudi Arabia 7.6% (2012) |
| Imports: | $10.68 billion (2013 est.) |
| Imports: | $10.25 billion (2012 est.) |
| Imports - commodities: | food and live animals, petroleum and petroleum products, chemicals, machinery, motor vehicles, cereals, textiles |
| Imports - partners: | China 13.1%, US 11%, Saudi Arabia 8.4%, India 5.4% (2012) |
| Reserves of foreign exchange and gold: | $3.382 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $3.272 billion (31 December 2012 est.) |
| Debt - external: | $11.99 billion (31 December 2013 est.) |
| Debt - external: | $10.03 billion (31 December 2012 est.) |
| Exchange rates: | birr (ETB) per US dollar - |
| Exchange rates: | 19.92 (2013 est.) |
| Exchange rates: | 17.705 (2012 est.) |
| Exchange rates: | 14.41 (2010 est.) |
| Exchange rates: | 11.78 (2009) |
| Exchange rates: | 9.57 (2008) |
