| Economy | NORWAY |
| Labor force: | 2.78 million (2016 est.) |
| Labor force - by occupation: | agriculture: 2.1% |
| Labor force - by occupation: | industry: 19.3% |
| Labor force - by occupation: | services: 78.6% (2016 est.) |
| Unemployment rate: | 4.7% (2016 est.) |
| Unemployment rate: | 4.4% (2015 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: 3.8% |
| Household income or consumption by percentage share: | highest 10%: 21.2% (2014) |
| Distribution of family income - Gini index: | 26.8 (2010) |
| Distribution of family income - Gini index: | 25.8 (1995) |
| Budget: | revenues: $200.6 billion |
| Budget: | expenditures: $189.4 billion (2016 est.) |
| Taxes and other revenues: | 54.2% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | 3% of GDP (2016 est.) |
| Public debt: | 35.7% of GDP (2016 est.) |
| Public debt: | 32% of GDP (2015 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data exclude treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.6% (2016 est.) |
| Inflation rate (consumer prices): | 2.2% (2015 est.) |
| Central bank discount rate: | 6.25% (31 December 2010) |
| Central bank discount rate: | 1.75% (31 December 2009) |
| Commercial bank prime lending rate: | 1.5% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 1.75% (31 December 2015 est.) |
| Stock of narrow money: | $214 billion (31 December 2016 est.) |
| Stock of narrow money: | $199.6 billion (31 December 2015 est.) |
| Stock of broad money: | $323.9 billion (31 December 2014 est.) |
| Stock of broad money: | $310 billion (31 December 2013 est.) |
| Stock of domestic credit: | $571.7 billion (31 December 2016 est.) |
| Stock of domestic credit: | $527.8 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $193.9 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $219.4 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $265.4 billion (31 December 2013 est.) |
| Current account balance: | $18.43 billion (2016 est.) |
| Current account balance: | $33.75 billion (2015 est.) |
| Exports: | $88.88 billion (2016 est.) |
| Exports: | $103.4 billion (2015 est.) |
| Exports - commodities: | petroleum and petroleum products, machinery and equipment, metals, chemicals, ships, fish |
| Exports - partners: | UK 21%, Germany 14.4%, Netherlands 10.7%, France 6.9%, Sweden 6.5%, Belgium 4.4%, US 4.3%, Denmark 4% (2016) |
| Imports: | $73.62 billion (2016 est.) |
| Imports: | $75.41 billion (2015 est.) |
| Imports - commodities: | machinery and equipment, chemicals, metals, foodstuffs |
| Imports - partners: | Germany 12.2%, Sweden 12.2%, China 11.2%, US 6.6%, Denmark 5.7%, UK 5.2%, Netherlands 4.1% (2016) |
| Reserves of foreign exchange and gold: | $60.45 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $57.46 billion (31 December 2015 est.) |
| Debt - external: | $642.3 billion (31 March 2016 est.) |
| Debt - external: | $640.1 billion (31 March 2015 est.) |
| Debt - external: | note: Norway is a net external creditor |
| Stock of direct foreign investment - at home: | $219.1 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $210.6 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $191.7 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $203 billion (31 December 2015 est.) |
| Exchange rates: | Norwegian kroner (NOK) per US dollar - |
| Exchange rates: | 8.3978 (2016 est.) |
| Exchange rates: | 8.3978 (2015 est.) |
| Exchange rates: | 8.0646 (2014 est.) |
| Exchange rates: | 6.3021 (2013 est.) |
| Exchange rates: | 5.82 (2012 est.) |
