| Economy | NORWAY |
| GDP - composition, by end use: | imports of goods and services: -27.6% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.7% |
| GDP - composition, by sector of origin: | industry: 41.8% |
| GDP - composition, by sector of origin: | services: 56.5% (2014 est.) |
| Agriculture - products: | barley, wheat, potatoes; pork, beef, veal, milk; fish |
| Industries: | petroleum and gas, shipping, fishing, aquaculture, food processing, shipbuilding, pulp and paper products, metals, chemicals, timber, mining, textiles |
| Industrial production growth rate: | 0.8% (2014 est.) |
| Labor force: | 2.724 million (2014 est.) |
| Labor force - by occupation: | agriculture: 2.2% |
| Labor force - by occupation: | industry: 20.2% |
| Labor force - by occupation: | services: 77.6% (2012) |
| Unemployment rate: | 3.5% (2014 est.) |
| Unemployment rate: | 3.5% (2013 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: 3.9% |
| Household income or consumption by percentage share: | highest 10%: 21% (2008) |
| Distribution of family income - Gini index: | 26.8 (2010) |
| Distribution of family income - Gini index: | 25.8 (1995) |
| Budget: | revenues: $294.3 billion |
| Budget: | expenditures: $230.5 billion (2014 est.) |
| Taxes and other revenues: | 57.5% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | 12.5% of GDP (2014 est.) |
| Public debt: | 29.6% of GDP (2014 est.) |
| Public debt: | 29.7% of GDP (2013 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data exclude treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2% (2014 est.) |
| Inflation rate (consumer prices): | 2.1% (2013 est.) |
| Central bank discount rate: | 6.25% (31 December 2010) |
| Central bank discount rate: | 1.75% (31 December 2009) |
| Commercial bank prime lending rate: | 2.5% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 2.5% (31 December 2013 est.) |
| Stock of narrow money: | $146.1 billion (31 December 2014 est.) |
| Stock of narrow money: | $144.2 billion (31 December 2013 est.) |
| Stock of broad money: | $323.9 billion (31 December 2014 est.) |
| Stock of broad money: | $310 billion (31 December 2013 est.) |
| Stock of domestic credit: | $731.1 billion (31 December 2014 est.) |
| Stock of domestic credit: | $689.2 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $252.9 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $219.2 billion (31 December 2011) |
| Market value of publicly traded shares: | $250.9 billion (31 December 2010 est.) |
| Current account balance: | $42.33 billion (2014 est.) |
| Current account balance: | $57.39 billion (2013 est.) |
| Exports: | $150.2 billion (2014 est.) |
| Exports: | $158.3 billion (2013 est.) |
| Exports - commodities: | petroleum and petroleum products, machinery and equipment, metals, chemicals, ships, fish |
| Exports - partners: | UK 22.9%, Germany 16.9%, Netherlands 12.9%, France 6%, Sweden 5.7%, Belgium 4.8% (2014) |
| Imports: | $91.03 billion (2014 est.) |
| Imports: | $92.83 billion (2013 est.) |
| Imports - commodities: | machinery and equipment, chemicals, metals, foodstuffs |
| Imports - partners: | Sweden 12.3%, Germany 11.9%, China 9.4%, UK 6.5%, US 6.2%, Denmark 6.1% (2014) |
| Reserves of foreign exchange and gold: | $58.28 billion (31 December 2013 est.) |
| Debt - external: | $720.6 billion (31 December 2012 est.) |
| Debt - external: | $595.7 billion (31 December 2011) |
| Debt - external: | note: Norway is a net external creditor |
| Stock of direct foreign investment - at home: | $294.2 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $282.5 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $279.6 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $271.6 billion (31 December 2013 est.) |
| Exchange rates: | Norwegian kroner (NOK) per US dollar - |
| Exchange rates: | 6.163 (2014 est.) |
| Exchange rates: | 5.876 (2013 est.) |
| Exchange rates: | 5.82 (2012 est.) |
| Exchange rates: | 5.6065 (2011 est.) |
| Exchange rates: | 6.0442 (2010 est.) |
