| Economy | BOLIVIA |
| Household income or consumption by percentage share: | highest 10%: 33.6% (2012 est.) |
| Distribution of family income - Gini index: | 46.6 (2012) |
| Distribution of family income - Gini index: | 57.9 (1999) |
| Budget: | revenues: $15.78 billion |
| Budget: | expenditures: $18.05 billion (2015 est.) |
| Taxes and other revenues: | 47.5% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -6.8% of GDP (2015 est.) |
| Public debt: | 38.5% of GDP (2015 est.) |
| Public debt: | 35.2% of GDP (2014 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 4.1% (2015 est.) |
| Inflation rate (consumer prices): | 5.8% (2014 est.) |
| Central bank discount rate: | 4.5% (31 December 2013) |
| Central bank discount rate: | 4% (31 december 2012) |
| Commercial bank prime lending rate: | 8.07% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 9.69% (31 December 2014 est.) |
| Stock of narrow money: | $8.946 billion (31 December 2015 est.) |
| Stock of narrow money: | $8.386 billion (31 December 2014 est.) |
| Stock of broad money: | $20.19 billion (31 December 2013 est.) |
| Stock of broad money: | $17.4 billion (31 December 2012 est.) |
| Stock of domestic credit: | $18.9 billion (31 December 2015 est.) |
| Stock of domestic credit: | $14.55 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $9.684 billion (31 December 2013) |
| Market value of publicly traded shares: | $7.689 billion (31 December 2012) |
| Market value of publicly traded shares: | $6.089 billion (31 December 2011) |
| Current account balance: | -$2.286 billion (2015 est.) |
| Current account balance: | $61 million (2014 est.) |
| Exports: | $8.197 billion (2015 est.) |
| Exports: | $12.15 billion (2014 est.) |
| Exports - commodities: | natural gas, mineral ores, gold, soybeans and soy products, tin |
| Exports - partners: | Brazil 28.1%, Argentina 16.9%, US 12.1%, Colombia 6.3%, China 5.3%, Japan 4.7%, South Korea 4.3% (2015) |
| Imports: | $9.069 billion (2015 est.) |
| Imports: | $9.935 billion (2014 est.) |
| Imports - commodities: | machinery, petroleum products, vehicles, iron and steel, plastics |
| Imports - partners: | China 17.9%, Brazil 16.5%, Argentina 11.8%, US 10.6%, Peru 6.2%, Japan 5.2%, Chile 4.6% (2015) |
| Reserves of foreign exchange and gold: | $13.06 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $15.12 billion (31 December 2014 est.) |
| Debt - external: | $9.035 billion (31 December 2015 est.) |
| Debt - external: | $8.781 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $10.56 billion (31 December 2013) |
| Stock of direct foreign investment - at home: | $8.809 billion (31 December 2012) |
| Stock of direct foreign investment - abroad: | $0 (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $0 (31 December 2012 est.) |
| Exchange rates: | bolivianos (BOB) per US dollar - |
| Exchange rates: | 6.91 (2015 est.) |
| Exchange rates: | 6.91 (2014 est.) |
| Exchange rates: | 6.91 (2013 est.) |
| Exchange rates: | 6.94 (2012 est.) |
| Exchange rates: | 6.9875 (2011 est.) |
