| Economy | Bolivia |
| Commercial bank prime lending rate: | 10.92% (31 December 2011 est.) |
| Stock of narrow money: | $7.32 billion (31 December 2012 est.) |
| Stock of narrow money: | $6.13 billion (31 December 2011 est.) |
| Stock of broad money: | $17.13 billion (31 December 2011 est.) |
| Stock of broad money: | $14.25 billion (31 December 2010 est.) |
| Stock of domestic credit: | $9.044 billion (31 December 2012 est.) |
| Stock of domestic credit: | $7.633 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $7.69 billion (31 December 2012) |
| Market value of publicly traded shares: | $6.089 billion (31 December 2011) |
| Market value of publicly traded shares: | $3.915 billion (31 December 2010) |
| Current account balance: | $2.127 billion (2012 est.) |
| Current account balance: | $537.6 million (2011 est.) |
| Exports: | $11.11 billion (2012 est.) |
| Exports: | $8.175 billion (2011 est.) |
| Exports - commodities: | natural gas, soybeans and soy products, crude petroleum, zinc ore, tin |
| Exports - partners: | Brazil 41.8%, US 18.4%, Argentina 7.3%, Peru 4.9% (2012) |
| Imports: | $7.694 billion (2012 est.) |
| Imports: | $7.126 billion (2011 est.) |
| Imports - commodities: | petroleum products, plastics, paper, aircraft and aircraft parts, prepared foods, automobiles, insecticides |
| Imports - partners: | Chile 21.3%, Brazil 20.3%, Argentina 10.9%, US 10.1%, Peru 6.5%, Venezuela 6.2%, China 4.9% (2012) |
| Reserves of foreign exchange and gold: | $13.93 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $12.02 billion (31 December 2011 est.) |
| Debt - external: | $6.89 billion (31 December 2012 est.) |
| Debt - external: | $6.474 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $8.81 billion (31 December 2012) |
| Stock of direct foreign investment - at home: | $7.75 billion (31 December 2011) |
| Stock of direct foreign investment - abroad: | $8 million (31 December 2011) |
| Stock of direct foreign investment - abroad: | $21 million (31 December 2010) |
| Exchange rates: | bolivianos (BOB) per US dollar - |
| Exchange rates: | 6.96 (2012 est.) |
| Exchange rates: | 6.99 (2011 est.) |
| Exchange rates: | 7.02 (2010 est.) |
| Exchange rates: | 7.07 (2009) |
| Exchange rates: | 7.25 (2008) |
