| Economy | Jordan |
| GDP - composition, by end use: | household consumption: 73.8% |
| GDP - composition, by end use: | government consumption: 21.9% |
| GDP - composition, by end use: | investment in fixed capital: 26% |
| GDP - composition, by end use: | investment in inventories: 16.1% |
| GDP - composition, by end use: | exports of goods and services: 43.8% |
| GDP - composition, by end use: | imports of goods and services: -81.5% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.1% |
| GDP - composition, by sector of origin: | industry: 30.1% |
| GDP - composition, by sector of origin: | services: 66.8% (2012 est.) |
| Agriculture - products: | citrus, tomatoes, cucumbers, olives, strawberries, stone fruits; sheep, poultry, dairy |
| Industries: | clothing, fertilizers, potash, phosphate mining, pharmaceuticals, petroleum refining, cement, inorganic chemicals, light manufacturing, tourism |
| Industrial production growth rate: | 0.8% (2012 est.) |
| Labor force: | 1.835 million (2012 est.) |
| Labor force - by occupation: | agriculture: 2.7% |
| Labor force - by occupation: | industry: 20% |
| Labor force - by occupation: | services: 77.4% (2007 est.) |
| Unemployment rate: | 12.5% (2012 est.) |
| Unemployment rate: | 12.1% (2011 est.) |
| Unemployment rate: | note: official rate; unofficial rate is approximately 30% |
| Population below poverty line: | 14.2% (2002) |
| Household income or consumption by percentage share: | lowest 10%: 3.4% |
| Household income or consumption by percentage share: | highest 10%: 28.7% (2010 est.) |
| Distribution of family income - Gini index: | 39.7 (2007) |
| Distribution of family income - Gini index: | 36.4 (1997) |
| Budget: | revenues: $6.668 billion |
| Budget: | expenditures: $9.678 billion (2012 est.) |
| Taxes and other revenues: | 21.7% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -9.8% of GDP (2012 est.) |
| Public debt: | 75.5% of GDP (2012 est.) |
| Public debt: | 65.5% of GDP (2011 est.) |
| Public debt: | note: data cover central government debt, and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 4.8% (2012 est.) |
| Inflation rate (consumer prices): | 4.4% (2011 est.) |
| Central bank discount rate: | 0.3% (31 December 2010 est.) |
| Central bank discount rate: | 4.75% (31 December 2009 est.) |
| Commercial bank prime lending rate: | 8.95% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 8.67% (31 December 2011 est.) |
| Stock of narrow money: | $10.17 billion (31 December 2012 est.) |
| Stock of narrow money: | $10.26 billion (31 December 2011 est.) |
| Stock of broad money: | $38.61 billion (31 December 2012 est.) |
| Stock of broad money: | $34.02 billion (31 December 2011 est.) |
| Stock of domestic credit: | $35.39 billion (31 December 2012 est.) |
| Stock of domestic credit: | $30.81 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $27 billion (31 December 2012) |
| Market value of publicly traded shares: | $27.18 billion (31 December 2011) |
| Market value of publicly traded shares: | $30.86 billion (31 December 2010) |
| Current account balance: | $-5.37 billion (2012 est.) |
| Current account balance: | $-3.473 billion (2011 est.) |
| Exports: | $7.898 billion (2012 est.) |
| Exports: | $8.018 billion (2011 est.) |
| Exports - commodities: | clothing, fertilizers, potash, phosphates, vegetables, pharmaceuticals |
| Exports - partners: | US 16.6%, Iraq 15.1%, Saudi Arabia 11%, India 10.5%, Indonesia 4.2% (2012) |
| Imports: | $18.46 billion (2012 est.) |
| Imports: | $16.85 billion (2011 est.) |
| Imports - commodities: | crude oil, machinery, transport equipment, iron, cereals |
| Imports - partners: | Saudi Arabia 23.6%, China 9.4%, US 6.7%, Italy 4.7%, Turkey 4.6% (2012) |
| Reserves of foreign exchange and gold: | $8.829 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $12.11 billion (31 December 2011 est.) |
| Debt - external: | $19.67 billion (31 December 2012 est.) |
| Debt - external: | $17.63 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $24.78 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $23.37 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $509 million (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $503.9 million (31 December 2011 est.) |
| Exchange rates: | Jordanian dinars (JOD) per US dollar - |
| Exchange rates: | 0.71 (2012 est.) |
| Exchange rates: | 0.71 (2011 est.) |
| Exchange rates: | 0.71 (2010 est.) |
| Exchange rates: | 0.71 (2009) |
| Exchange rates: | 0.71 (2008) |
