| Economy | JORDAN |
| Taxes and other revenues: | 22.7% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -6.2% of GDP (2016 est.) |
| Public debt: | 87.7% of GDP (2016 est.) |
| Public debt: | 85.8% of GDP (2015 est.) |
| Public debt: | note: data cover central government debt, and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.8% (2016 est.) |
| Inflation rate (consumer prices): | -0.9% (2015 est.) |
| Central bank discount rate: | 3.75% (31 December 2015) |
| Central bank discount rate: | 0.3% (31 December 2010) |
| Commercial bank prime lending rate: | 7.83% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 8.24% (31 December 2015 est.) |
| Stock of narrow money: | $14.63 billion (31 December 2016 est.) |
| Stock of narrow money: | $13.92 billion (31 December 2015 est.) |
| Stock of broad money: | $46.3 billion (31 December 2016 est.) |
| Stock of broad money: | $44.52 billion (31 December 2015 est.) |
| Stock of domestic credit: | $41.87 billion (31 December 2016 est.) |
| Stock of domestic credit: | $39.57 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $24.25 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $25.45 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $25.55 billion (31 December 2014 est.) |
| Current account balance: | $-3.613 billion (2016 est.) |
| Current account balance: | $-3.406 billion (2015 est.) |
| Exports: | $7.509 billion (2016 est.) |
| Exports: | $7.833 billion (2015 est.) |
| Exports - commodities: | textiles, fertilizers, potash, phosphates, vegetables, pharmaceuticals |
| Exports - partners: | US 25.2%, Saudi Arabia 14.2%, India 8.4%, Iraq 6.8%, UAE 5.6%, Kuwait 5.1% (2016) |
| Imports: | $17.03 billion (2016 est.) |
| Imports: | $18.17 billion (2015 est.) |
| Imports - commodities: | crude oil, refined petroleum products, machinery, transport equipment, iron, cereals |
| Imports - partners: | China 14%, Saudi Arabia 11.8%, US 7.4%, Germany 4.8%, Italy 4.7%, UAE 4.4% (2016) |
| Reserves of foreign exchange and gold: | $15.54 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $16.57 billion (31 December 2015 est.) |
| Debt - external: | $26.38 billion (31 December 2016 est.) |
| Debt - external: | $25.75 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $32.15 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $30.63 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $612.5 million (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $609.3 million (31 December 2015 est.) |
| Exchange rates: | Jordanian dinars (JOD) per US dollar - |
| Exchange rates: | 0.71 (2016 est.) |
| Exchange rates: | 0.71 (2015 est.) |
| Exchange rates: | 0.71 (2014 est.) |
| Exchange rates: | 0.71 (2013 est.) |
| Exchange rates: | 0.709 (2012 est.) |
