| Economy | Sweden |
| GDP - composition, by sector of origin: | industry: 32.1% |
| GDP - composition, by sector of origin: | services: 66% (2012 est.) |
| Agriculture - products: | barley, wheat, sugar beets; meat, milk |
| Industries: | iron and steel, precision equipment (bearings, radio and telephone parts, armaments), wood pulp and paper products, processed foods, motor vehicles |
| Industrial production growth rate: | -0.6% (2012 est.) |
| Labor force: | 5.058 million (2012 est.) |
| Labor force - by occupation: | agriculture: 1.1% |
| Labor force - by occupation: | industry: 28.2% |
| Labor force - by occupation: | services: 70.7% (2008 est.) |
| Unemployment rate: | 8% (2012 est.) |
| Unemployment rate: | 7.8% (2011 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: 3.6% |
| Household income or consumption by percentage share: | highest 10%: 22.2% (2000) |
| Distribution of family income - Gini index: | 23 (2005) |
| Distribution of family income - Gini index: | 25 (1992) |
| Budget: | revenues: $269.6 billion |
| Budget: | expenditures: $273.3 billion (2012 est.) |
| Taxes and other revenues: | 52.2% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -0.7% of GDP (2012 est.) |
| Public debt: | 38.2% of GDP (2012 est.) |
| Public debt: | 38.6% of GDP (2011 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.9% (2012 est.) |
| Inflation rate (consumer prices): | 3% (2011 est.) |
| Central bank discount rate: | 5.5% (31 December 2010 est.) |
| Central bank discount rate: | 0.5% (31 December 2009 est.) |
| Commercial bank prime lending rate: | 3.57% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 4.28% (31 December 2011 est.) |
| Stock of narrow money: | $260.1 billion (31 December 2012 est.) |
| Stock of narrow money: | $232.6 billion (31 December 2011 est.) |
| Stock of broad money: | $440.2 billion (31 December 2011 est.) |
| Stock of broad money: | $422.6 billion (31 December 2010 est.) |
| Stock of domestic credit: | $792.5 billion (31 December 2012 est.) |
| Stock of domestic credit: | $725.2 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $470.1 billion (31 December 2011) |
| Market value of publicly traded shares: | $581.2 billion (31 December 2010) |
| Market value of publicly traded shares: | $432.3 billion (31 December 2009) |
| Current account balance: | $36.31 billion (2012 est.) |
| Current account balance: | $37.97 billion (2011 est.) |
| Exports: | $184.8 billion (2012 est.) |
| Exports: | $197.3 billion (2011 est.) |
| Exports - commodities: | machinery 35%, motor vehicles, paper products, pulp and wood, iron and steel products, chemicals |
| Exports - partners: | Norway 10.4%, Germany 10.3%, UK 8.1%, Finland 6.8%, Denmark 6.7%, Netherlands 5.5%, US 5.5%, Belgium 5%, France 4.8% (2012) |
| Imports: | $163.3 billion (2012 est.) |
| Imports: | $177 billion (2011 est.) |
| Imports - commodities: | machinery, petroleum and petroleum products, chemicals, motor vehicles, iron and steel; foodstuffs, clothing |
| Imports - partners: | Germany 17.4%, Denmark 8.5%, Norway 8.4%, UK 6.5%, Netherlands 6.4%, Russia 5.6%, Finland 5.1%, China 4.9%, France 4.2% (2012) |
| Reserves of foreign exchange and gold: | $52.23 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $50.35 billion (31 December 2011 est.) |
| Debt - external: | $1.034 trillion (31 December 2012) |
| Debt - external: | $992.5 billion (31 December 2011) |
| Stock of direct foreign investment - at home: | $500.8 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $474.4 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $527.8 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $507 billion (31 December 2011 est.) |
| Exchange rates: | Swedish kronor (SEK) per US dollar - |
| Exchange rates: | 6.77 (2012 est.) |
| Exchange rates: | 6.49 (2011 est.) |
| Exchange rates: | 7.21 (2010 est.) |
| Exchange rates: | 7.65 (2009) |
| Exchange rates: | 6.41 (2008) |
