| Economy | Turkey |
| GDP - composition, by sector of origin: | services: 63.8% (2013 est.) |
| Agriculture - products: | tobacco, cotton, grain, olives, sugar beets, hazelnuts, pulses, citrus; livestock |
| Industries: | textiles, food processing, automobiles, electronics, mining (coal, chromate, copper, boron), steel, petroleum, construction, lumber, paper |
| Industrial production growth rate: | 3.5% (2013 est.) |
| Labor force: | 27.91 million |
| Labor force: | note: about 1.2 million Turks work abroad (2013 est.) |
| Labor force - by occupation: | agriculture: 25.5% |
| Labor force - by occupation: | industry: 26.2% |
| Labor force - by occupation: | services: 48.4% (2010) |
| Unemployment rate: | 9.3% (2013 est.) |
| Unemployment rate: | 9.2% (2012 est.) |
| Population below poverty line: | 16.9% (2010) |
| Household income or consumption by percentage share: | lowest 10%: 2.1% |
| Household income or consumption by percentage share: | highest 10%: 30.3% (2008) |
| Distribution of family income - Gini index: | 40.2 (2010) |
| Distribution of family income - Gini index: | 43.6 (2003) |
| Budget: | revenues: $190.4 billion |
| Budget: | expenditures: $207.9 billion (2013 est.) |
| Taxes and other revenues: | 23.2% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -2.1% of GDP (2013 est.) |
| Public debt: | 36.6% of GDP (2013 est.) |
| Public debt: | 37.6% of GDP (2012 est.) |
| Public debt: | note: data cover central government debt, and excludes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 7.6% (2013 est.) |
| Inflation rate (consumer prices): | 8.9% (2012 est.) |
| Central bank discount rate: | 5.25% (31 December 2011) |
| Central bank discount rate: | 15% (22 December 2009) |
| Commercial bank prime lending rate: | 18.5% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 19% (31 December 2012 est.) |
| Stock of narrow money: | $80.72 billion (31 December 2013 est.) |
| Stock of narrow money: | $85.23 billion (31 December 2012 est.) |
| Stock of broad money: | $383.5 billion (31 December 2013 est.) |
| Stock of broad money: | $405.6 billion (31 December 2012 est.) |
| Stock of domestic credit: | $549.5 billion (31 December 2013 est.) |
| Stock of domestic credit: | $552.3 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $308.8 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $201.8 billion (31 December 2011) |
| Market value of publicly traded shares: | $306.7 billion (31 December 2010 est.) |
| Current account balance: | -$58.35 billion (2013 est.) |
| Current account balance: | -$47.75 billion (2012 est.) |
| Exports: | $167.6 billion (2013 est.) |
| Exports: | $163.3 billion (2012 est.) |
| Exports - commodities: | apparel, foodstuffs, textiles, metal manufactures, transport equipment |
| Exports - partners: | Germany 8.6%, Iraq 7.1%, Iran 6.5%, UK 5.7%, UAE 5.4%, Russia 4.4%, Italy 4.2%, France 4.1% (2012) |
| Imports: | $242.9 billion (2013 est.) |
| Imports: | $228.6 billion (2012 est.) |
| Imports - commodities: | machinery, chemicals, semi-finished goods, fuels, transport equipment |
| Imports - partners: | Russia 11.3%, Germany 9%, China 9%, US 6%, Italy 5.6%, Iran 5.1% (2012) |
| Reserves of foreign exchange and gold: | $117.6 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $119.2 billion (31 December 2012 est.) |
| Debt - external: | $359.5 billion (31 December 2013 est.) |
| Debt - external: | $336.7 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $194.2 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $181.7 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $33.44 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $30.94 billion (31 December 2012 est.) |
| Exchange rates: | Turkish liras (TRY) per US dollar - |
| Exchange rates: | 1.899 (2013 est.) |
| Exchange rates: | 1.796 (2012 est.) |
| Exchange rates: | 1.5028 (2010 est.) |
| Exchange rates: | 1.55 (2009) |
| Exchange rates: | 1.3179 (2008) |
