| Economy | TURKEY |
| Unemployment rate: | 10% (2014 est.) |
| Population below poverty line: | 16.9% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.1% |
| Household income or consumption by percentage share: | highest 10%: 30.3% (2008) |
| Distribution of family income - Gini index: | 40.2 (2010) |
| Distribution of family income - Gini index: | 43.6 (2003) |
| Budget: | revenues: $177.7 billion |
| Budget: | expenditures: $186 billion (2015 est.) |
| Taxes and other revenues: | 24.2% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -1.1% of GDP (2015 est.) |
| Public debt: | 34.7% of GDP (2015 est.) |
| Public debt: | 35% of GDP (2014 est.) |
| Public debt: | note: data cover central government debt, and excludes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 7.7% (2015 est.) |
| Inflation rate (consumer prices): | 8.9% (2014 est.) |
| Central bank discount rate: | 5.25% (31 December 2011) |
| Central bank discount rate: | 15% (22 December 2009) |
| Commercial bank prime lending rate: | 13.66% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 13.23% (31 December 2014 est.) |
| Stock of narrow money: | $107.1 billion (31 December 2015 est.) |
| Stock of narrow money: | $111.3 billion (31 December 2014 est.) |
| Stock of broad money: | $474.7 billion (31 December 2014 est.) |
| Stock of broad money: | $425.1 billion (31 December 2013 est.) |
| Stock of domestic credit: | $581.8 billion (31 December 2015 est.) |
| Stock of domestic credit: | $618.6 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $308.8 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $201.8 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $306.7 billion (31 December 2013 est.) |
| Current account balance: | -$32.19 billion (2015 est.) |
| Current account balance: | -$43.55 billion (2014 est.) |
| Exports: | $152 billion (2015 est.) |
| Exports: | $168.9 billion (2014 est.) |
| Exports - commodities: | apparel, foodstuffs, textiles, metal manufactures, transport equipment |
| Exports - partners: | Germany 9.3%, UK 7.3%, Iraq 5.9%, Italy 4.8%, US 4.5%, France 4.1% (2015) |
| Imports: | $200.1 billion (2015 est.) |
| Imports: | $232.5 billion (2014 est.) |
| Imports - commodities: | machinery, chemicals, semi-finished goods, fuels, transport equipment |
| Imports - partners: | China 12%, Germany 10.3%, Russia 9.9%, US 5.4%, Italy 5.1% (2015) |
| Reserves of foreign exchange and gold: | $110.5 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $127.3 billion (31 December 2014 est.) |
| Debt - external: | $397.8 billion (31 December 2015 est.) |
| Debt - external: | $408.2 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $185.9 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $169.1 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $45.57 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $40.48 billion (31 December 2014 est.) |
| Exchange rates: | Turkish liras (TRY) per US dollar - |
| Exchange rates: | 2.72 (2015 est.) |
| Exchange rates: | 2.1885 (2014 est.) |
| Exchange rates: | 2.1885 (2013 est.) |
| Exchange rates: | 1.8 (2012 est.) |
| Exchange rates: | 1.675 (2011 est.) |
