| Economy | Turkey |
| Labor force - by occupation: | industry: 26.2% |
| Labor force - by occupation: | services: 48.4% (2010) |
| Unemployment rate: | 9% (2012 est.) |
| Unemployment rate: | 9.8% (2011 est.) |
| Unemployment rate: | note: underemployment amounted to 4% in 2008 |
| Population below poverty line: | 16.9% (2010) |
| Household income or consumption by percentage share: | lowest 10%: 2.1% |
| Household income or consumption by percentage share: | highest 10%: 30.3% (2008) |
| Distribution of family income - Gini index: | 40.2 (2010) |
| Distribution of family income - Gini index: | 43.6 (2003) |
| Investment (gross fixed): | 21.9% of GDP (2012 est.) |
| Budget: | revenues: $179.9 billion |
| Budget: | expenditures: $200.4 billion (2012 est.) |
| Taxes and other revenues: | 23% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -2.6% of GDP (2012 est.) |
| Public debt: | 40.4% of GDP (2012 est.) |
| Public debt: | 40% of GDP (2011 est.) |
| Public debt: | note: data cover central government debt, and excludes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are sold at public auctions |
| Inflation rate (consumer prices): | 9.1% (2012 est.) |
| Inflation rate (consumer prices): | 6.5% (2011 est.) |
| Central bank discount rate: | 5.25% (31 December 2011) |
| Central bank discount rate: | 15% (22 December 2009) |
| Commercial bank prime lending rate: | 19% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 17% (31 December 2011 est.) |
| Stock of narrow money: | $83.29 billion (31 December 2012 est.) |
| Stock of narrow money: | $71.95 billion (31 December 2011 est.) |
| Stock of broad money: | $386.5 billion (31 December 2012 est.) |
| Stock of broad money: | $346.2 billion (31 December 2011 est.) |
| Stock of domestic credit: | $520.9 billion (31 December 2012 est.) |
| Stock of domestic credit: | $456.6 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $201.8 billion (31 December 2011) |
| Market value of publicly traded shares: | $306.7 billion (31 December 2010) |
| Market value of publicly traded shares: | $225.7 billion (31 December 2009) |
| Agriculture - products: | tobacco, cotton, grain, olives, sugar beets, hazelnuts, pulses, citrus; livestock |
| Industrial production growth rate: | 9.2% (2011 est.) |
| Current account balance: | -$59.74 billion (2012 est.) |
| Current account balance: | -$77.24 billion (2011 est.) |
| Exports: | $154.2 billion (2012 est.) |
| Exports: | $143.4 billion (2011 est.) |
| Exports - commodities: | apparel, foodstuffs, textiles, metal manufactures, transport equipment |
| Exports - partners: | Germany 10.3%, Iraq 6.2%, UK 6%, Italy 5.8%, France 5%, Russia 4.4% (2011) |
| Imports: | $225.6 billion (2012 est.) |
| Imports: | $232.9 billion (2011 est.) |
| Imports - commodities: | machinery, chemicals, semi-finished goods, fuels, transport equipment |
| Imports - partners: | Russia 9.9%, Germany 9.5%, China 9%, US 6.7%, Italy 5.6%, Iran 5.2% (2011) |
| Reserves of foreign exchange and gold: | $93.38 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $88.21 billion (31 December 2011 est.) |
| Debt - external: | $331.4 billion (31 December 2012 est.) |
| Debt - external: | $306.7 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $117.6 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $102.6 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $21.35 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $19.35 billion (31 December 2011 est.) |
| Exchange rates: | Turkish liras (TRY) per US dollar - |
| Exchange rates: | 1.798 (2012 est.) |
| Exchange rates: | 1.675 (2011 est.) |
| Exchange rates: | 1.5028 (2010 est.) |
| Exchange rates: | 1.55 (2009) |
| Exchange rates: | 1.3179 (2008) |
| Fiscal year: | calendar year |
