| Economy | MONTENEGRO |
| Budget surplus (+) or deficit (-): | -1.5% of GDP (2014 est.) |
| Public debt: | 59.5% of GDP (31 December 2014 est.) |
| Public debt: | 57.9% of GDP (2013 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.7% (2014 est.) |
| Inflation rate (consumer prices): | 3% (2013 est.) |
| Commercial bank prime lending rate: | 9.22% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 9.36% (31 December 2013 est.) |
| Stock of narrow money: | $749 million (31 December 2011 est.) |
| Stock of narrow money: | $783.3 million (31 December 2010 est.) |
| Stock of broad money: | $1.982 billion (31 December 2011 est.) |
| Stock of broad money: | $2.01 billion (31 December 2010 est.) |
| Stock of domestic credit: | $2.63 billion (31 December 2014 est.) |
| Stock of domestic credit: | $2.682 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $7.532 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $3.827 billion (31 December 2012) |
| Market value of publicly traded shares: | $3.322 billion (31 December 2011 est.) |
| Current account balance: | -$793 million (2014 est.) |
| Current account balance: | -$1.927 billion (2011 est.) |
| Exports: | $370.2 million (2014 est.) |
| Exports: | $489.2 million (2012 est.) |
| Exports - partners: | Croatia 22.7%, Serbia 22.7%, Slovenia 7.8% (2012 est.) |
| Imports: | $1.982 billion (2014 est.) |
| Imports: | $2.4 billion (2012 est.) |
| Imports - partners: | Serbia 29.3%, Greece 8.7%, China 7.1% (2012 est.) |
| Reserves of foreign exchange and gold: | $599.6 million (31 December 2014 est.) |
| Debt - external: | $1.576 billion (31 December 2014 est.) |
| Debt - external: | $1.433 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $483 million (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $446.5 million (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $133 million (31 December 2014 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7489 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
| Exchange rates: | 0.755 (2010 est.) |
