| Economy | INDIA |
| Commercial bank prime lending rate: | 10.25% (31 December 2014 est.) |
| Stock of narrow money: | $370.5 billion (31 December 2015 est.) |
| Stock of narrow money: | $345.6 billion (31 December 2014 est.) |
| Stock of broad money: | $1.711 trillion (31 December 2015 est.) |
| Stock of broad money: | $1.612 trillion (31 December 2014 est.) |
| Stock of domestic credit: | $1.57 trillion (31 December 2015 est.) |
| Stock of domestic credit: | $1.494 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.263 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.015 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.616 trillion (31 December 2013 est.) |
| Current account balance: | -$26.22 billion (2015 est.) |
| Current account balance: | -$26.72 billion (2014 est.) |
| Exports: | $272.4 billion (2015 est.) |
| Exports: | $328.4 billion (2014 est.) |
| Exports - commodities: | petroleum products, precious stones, vehicles, machinery, iron and steel, chemicals, pharmaceutical products, cereals, apparel |
| Exports - partners: | US 15.2%, UAE 11.4%, Hong Kong 4.6% (2015) |
| Imports: | $409.2 billion (2015 est.) |
| Imports: | $472.4 billion (2014 est.) |
| Imports - commodities: | crude oil, precious stones, machinery, chemicals, fertilizer, plastics, iron and steel |
| Imports - partners: | China 15.5%, UAE 5.5%, Saudi Arabia 5.4%, Switzerland 5.3%, US 5.2% (2015) |
| Reserves of foreign exchange and gold: | $351.6 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $322.8 billion (31 December 2014 est.) |
| Debt - external: | $480.8 billion (31 December 2015 est.) |
| Debt - external: | $463.2 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $296.8 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $252.8 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $139 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $131.5 billion (31 December 2014 est.) |
| Exchange rates: | Indian rupees (INR) per US dollar - |
| Exchange rates: | 64.152 (2015 est.) |
| Exchange rates: | 61.03 (2014 est.) |
| Exchange rates: | 61.03 (2013 est.) |
| Exchange rates: | 53.44 (2012 est.) |
| Exchange rates: | 46.671 (2011 est.) |
