| Economy | Costa Rica |
| Taxes and other revenues: | 14.6% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -4.5% of GDP (2012 est.) |
| Public debt: | 51.9% of GDP (2012 est.) |
| Public debt: | 46.5% of GDP (2011 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 4.5% (2012 est.) |
| Inflation rate (consumer prices): | 4.9% (2011 est.) |
| Central bank discount rate: | 21.5% (31 December 2010 est.) |
| Central bank discount rate: | 23% (31 December 2009 est.) |
| Commercial bank prime lending rate: | 18.21% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 16.15% (31 December 2011 est.) |
| Stock of narrow money: | $4.197 billion (31 December 2012 est.) |
| Stock of narrow money: | $3.693 billion (31 December 2011 est.) |
| Stock of broad money: | $20.09 billion (31 December 2011 est.) |
| Stock of broad money: | $18.68 billion (31 December 2010 est.) |
| Stock of domestic credit: | $21.93 billion (31 December 2012 est.) |
| Stock of domestic credit: | $19.21 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $1.443 billion (31 December 2011) |
| Market value of publicly traded shares: | $1.445 billion (31 December 2010) |
| Market value of publicly traded shares: | $1.452 billion (31 December 2009) |
| Current account balance: | $-2.341 billion (2012 est.) |
| Current account balance: | $-2.203 billion (2011 est.) |
| Exports: | $11.44 billion (2012 est.) |
| Exports: | $10.38 billion (2011 est.) |
| Exports - commodities: | bananas, pineapples, coffee, melons, ornamental plants, sugar; beef; seafood; electronic components, medical equipment |
| Exports - partners: | US 38.9%, Netherlands 7.5%, Panama 5.1%, Hong Kong 4.6%, Nicaragua 4.4% (2012) |
| Imports: | $16.75 billion (2012 est.) |
| Imports: | $15.53 billion (2011 est.) |
| Imports - commodities: | raw materials, consumer goods, capital equipment, petroleum, construction materials |
| Imports - partners: | US 49.8%, China 8.2%, Mexico 6.6% (2012) |
| Reserves of foreign exchange and gold: | $6.857 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $4.756 billion (31 December 2011 est.) |
| Debt - external: | $13.81 billion (31 December 2012 est.) |
| Debt - external: | $10.29 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $18.98 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $16.34 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $1.481 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $704.3 million (31 December 2011 est.) |
| Exchange rates: | Costa Rican colones (CRC) per US dollar - |
| Exchange rates: | 502.9 (2012 est.) |
| Exchange rates: | 505.66 (2011 est.) |
| Exchange rates: | 525.83 (2010 est.) |
| Exchange rates: | 573.29 (2009) |
| Exchange rates: | 530.41 (2008) |
