| Economy | Costa Rica |
| Taxes and other revenues: | 14.8% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -5% of GDP (2013 est.) |
| Public debt: | 55% of GDP (2013 est.) |
| Public debt: | 51.9% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 5.6% (2013 est.) |
| Inflation rate (consumer prices): | 4.5% (2012 est.) |
| Central bank discount rate: | $NA (31 December 2010 est.) |
| Central bank discount rate: | 23% (31 December 2009 est.) |
| Commercial bank prime lending rate: | $NA (31 December 2013 est.) |
| Commercial bank prime lending rate: | $NA (31 December 2012 est.) |
| Stock of narrow money: | $4.633 billion (31 December 2013 est.) |
| Stock of narrow money: | $4.197 billion (31 December 2012 est.) |
| Stock of broad money: | $14.57 billion (31 December 2013 est.) |
| Stock of broad money: | $14.95 billion (31 December 2012 est.) |
| Stock of domestic credit: | $22.92 billion (31 December 2013 est.) |
| Stock of domestic credit: | $21.93 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $2.015 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.443 billion (31 December 2011) |
| Market value of publicly traded shares: | $1.445 billion (31 December 2010 est.) |
| Current account balance: | -$2.673 billion (2013 est.) |
| Current account balance: | -$2.341 billion (2012 est.) |
| Exports: | $11.66 billion (2013 est.) |
| Exports: | $11.44 billion (2012 est.) |
| Exports - commodities: | bananas, pineapples, coffee, melons, ornamental plants, sugar; beef; seafood; electronic components, medical equipment |
| Exports - partners: | US 38.9%, Netherlands 7.5%, Panama 5.1%, Hong Kong 4.6%, Nicaragua 4.4% (2012) |
| Imports: | $17.56 billion (2013 est.) |
| Imports: | $16.75 billion (2012 est.) |
| Imports - commodities: | raw materials, consumer goods, capital equipment, petroleum, construction materials |
| Imports - partners: | US 49.8%, China 8.2%, Mexico 6.6% (2012) |
| Reserves of foreign exchange and gold: | $7.406 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $6.857 billion (31 December 2012 est.) |
| Debt - external: | $15.1 billion (31 December 2013 est.) |
| Debt - external: | $13.81 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $21.7 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $18.98 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $1.681 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $1.481 billion (31 December 2012 est.) |
| Exchange rates: | Costa Rican colones (CRC) per US dollar - |
| Exchange rates: | 500.9 (2013 est.) |
| Exchange rates: | 502.9 (2012 est.) |
| Exchange rates: | 525.83 (2010 est.) |
| Exchange rates: | 573.29 (2009) |
| Exchange rates: | 530.41 (2008) |
