| Economy | COSTA RICA |
| Commercial bank prime lending rate: | 15.4% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 15.19% (31 December 2013 est.) |
| Stock of narrow money: | $4.7 billion (31 December 2014 est.) |
| Stock of narrow money: | $4.599 billion (31 December 2013 est.) |
| Stock of broad money: | $17.41 billion (31 December 2014 est.) |
| Stock of broad money: | $17.15 billion (31 December 2013 est.) |
| Stock of domestic credit: | $26.95 billion (31 December 2014 est.) |
| Stock of domestic credit: | $24.94 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $2.015 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.443 billion (31 December 2011) |
| Market value of publicly traded shares: | $1.445 billion (31 December 2010 est.) |
| Current account balance: | -$2.151 billion (2014 est.) |
| Current account balance: | -$2.529 billion (2013 est.) |
| Exports: | $11.75 billion (2014 est.) |
| Exports: | $11.53 billion (2013 est.) |
| Exports - commodities: | bananas, pineapples, coffee, melons, ornamental plants, sugar; beef; seafood; electronic components, medical equipment |
| Exports - partners: | US 38.4%, Netherlands 6.2%, Panama 5.3%, Nicaragua 4.4%, Guatemala 4.1% (2014) |
| Imports: | $17.91 billion (2014 est.) |
| Imports: | $17.15 billion (2013 est.) |
| Imports - commodities: | raw materials, consumer goods, capital equipment, petroleum, construction materials |
| Imports - partners: | US 44.4%, China 10%, Mexico 6.7% (2014) |
| Reserves of foreign exchange and gold: | $7.067 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $7.331 billion (31 December 2013 est.) |
| Debt - external: | $18.37 billion (31 December 2014 est.) |
| Debt - external: | $17.19 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $24.71 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $22.25 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $2.492 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $2.292 billion (31 December 2013 est.) |
| Exchange rates: | Costa Rican colones (CRC) per US dollar - |
| Exchange rates: | 539.3 (2014 est.) |
| Exchange rates: | 499.77 (2013 est.) |
| Exchange rates: | 502.9 (2012 est.) |
| Exchange rates: | 505.66 (2011 est.) |
| Exchange rates: | 525.83 (2010 est.) |
