| Economy | Costa Rica |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 15.1% of GDP (2017 est.) |
| Gross national saving: | 16.1% of GDP (2016 est.) |
| Gross national saving: | 15% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 5.5% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 20.6% (2017 est.) |
| GDP - composition, by sector of origin: | services: 73.9% (2017 est.) |
| GDP - composition, by end use: | household consumption: 64.2% (2017 est.) |
| GDP - composition, by end use: | government consumption: 17.3% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 17.1% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 1% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 33.3% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -32.9% (2017 est.) |
| Ease of Doing Business Index scores: | 69.2 (2020) |
| Agriculture - products: | bananas, pineapples, coffee, melons, ornamental plants, sugar, corn, rice, beans, potatoes; beef, poultry, dairy; timber |
| Industries: | medical equipment, food processing, textiles and clothing, construction materials, fertilizer, plastic products |
| Industrial production growth rate: | 1.3% (2017 est.) |
| Labor force: | 1.843 million (2020 est.) |
| Labor force: | note: official estimate; excludes Nicaraguans living in Costa Rica |
| Labor force - by occupation: | agriculture: 14% |
| Labor force - by occupation: | industry: 22% |
| Labor force - by occupation: | services: 64% (2006 est.) |
| Unemployment rate: | 8.1% (2017 est.) |
| Unemployment rate: | 9.5% (2016 est.) |
| Population below poverty line: | 21.7% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.5% |
| Household income or consumption by percentage share: | highest 10%: 36.9% (2014 est.) |
| Budget: | revenues: 8.357 billion (2017 est.) |
| Budget: | expenditures: 11.92 billion (2017 est.) |
| Taxes and other revenues: | 14.3% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -6.1% (of GDP) (2017 est.) |
| Public debt: | 48.9% of GDP (2017 est.) |
| Public debt: | 44.9% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Current account balance: | -$1.692 billion (2017 est.) |
| Current account balance: | -$1.326 billion (2016 est.) |
| Exports: | $10.81 billion (2017 est.) |
| Exports: | $10.15 billion (2016 est.) |
| Exports - partners: | US 40.9%, Belgium 6.3%, Panama 5.6%, Netherlands 5.6%, Nicaragua 5.1%, Guatemala 5% (2017) |
| Exports - commodities: | bananas, pineapples, coffee, melons, ornamental plants, sugar; beef; seafood; electronic components, medical equipment |
| Imports: | $15.15 billion (2017 est.) |
| Imports: | $14.53 billion (2016 est.) |
| Imports - commodities: | raw materials, consumer goods, capital equipment, petroleum, construction materials |
| Imports - partners: | US 38.1%, China 13.1%, Mexico 7.3% (2017) |
| Reserves of foreign exchange and gold: | $7.15 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $7.574 billion (31 December 2016 est.) |
| Debt - external: | $26.83 billion (31 December 2017 est.) |
| Debt - external: | $24.3 billion (31 December 2016 est.) |
| Exchange rates: | Costa Rican colones (CRC) per US dollar - |
| Exchange rates: | 573.5 (2017 est.) |
| Exchange rates: | 544.74 (2016 est.) |
| Exchange rates: | 544.74 (2015 est.) |
| Exchange rates: | 534.57 (2014 est.) |
| Exchange rates: | 538.32 (2013 est.) |
