| Economy | GUATEMALA |
| Imports - commodities: | fuels, machinery and transport equipment, construction materials, grain, fertilizers, electricity, mineral products, chemical products, plastic materials and products |
| Imports - partners: | US 38.1%, Mexico 11%, China 9.9%, El Salvador 5%, Panama 4.2% (2016) |
| Reserves of foreign exchange and gold: | $9.156 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $7.746 billion (31 December 2015 est.) |
| Debt - external: | $21.45 billion (31 December 2016 est.) |
| Debt - external: | $20.18 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $13.19 billion (2015 est.) |
| Stock of direct foreign investment - at home: | $11.98 billion (2014 est.) |
| Exchange rates: | quetzales (GTQ) per US dollar - |
| Exchange rates: | 7.5999 (2016 est.) |
| Exchange rates: | 7.5999 (2015 est.) |
| Exchange rates: | 7.6548 (2014 est.) |
| Exchange rates: | 7.7322 (2013 est.) |
| Exchange rates: | 7.83 (2012 est.) |
