| Economy | Guatemala |
| Budget surplus (+) or deficit (-): | -1.3% (of GDP) (2017 est.) |
| Public debt: | 24.7% of GDP (2017 est.) |
| Public debt: | 24.5% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 4.4% (2017 est.) |
| Inflation rate (consumer prices): | 4.4% (2016 est.) |
| Central bank discount rate: | 7.53% (31 December 2015 est.) |
| Central bank discount rate: | 6.5% (31 December 2010) |
| Commercial bank prime lending rate: | 13.05% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 13.1% (31 December 2016 est.) |
| Stock of narrow money: | $12.23 billion (31 December 2017 est.) |
| Stock of narrow money: | $10.81 billion (31 December 2016 est.) |
| Stock of broad money: | $12.23 billion (31 December 2017 est.) |
| Stock of broad money: | $10.81 billion (31 December 2016 est.) |
| Stock of domestic credit: | $32.31 billion (31 December 2017 est.) |
| Stock of domestic credit: | $30.44 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | NA |
| Current account balance: | $1.134 billion (2017 est.) |
| Current account balance: | $1.023 billion (2016 est.) |
| Exports: | $11.12 billion (2017 est.) |
| Exports: | $10.58 billion (2016 est.) |
| Exports - partners: | US 33.8%, El Salvador 11.1%, Honduras 8.8%, Nicaragua 5.1%, Mexico 4.7% (2017) |
| Exports - commodities: | sugar, coffee, petroleum, apparel, bananas, fruits and vegetables, cardamom, manufacturing products, precious stones and metals, electricity |
| Imports: | $17.11 billion (2017 est.) |
| Imports: | $15.77 billion (2016 est.) |
| Imports - commodities: | fuels, machinery and transport equipment, construction materials, grain, fertilizers, electricity, mineral products, chemical products, plastic materials and products |
| Imports - partners: | US 39.8%, China 10.7%, Mexico 10.7%, El Salvador 5.3% (2017) |
| Reserves of foreign exchange and gold: | $11.77 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $9.156 billion (31 December 2016 est.) |
| Debt - external: | $22.92 billion (31 December 2017 est.) |
| Debt - external: | $21.45 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $16.2 billion (2017 est.) |
| Stock of direct foreign investment - at home: | $14.6 billion (2016 est.) |
| Exchange rates: | quetzales (GTQ) per US dollar - |
| Exchange rates: | 7.323 (2017 est.) |
| Exchange rates: | 7.5999 (2016 est.) |
| Exchange rates: | 7.5999 (2015 est.) |
| Exchange rates: | 7.6548 (2014 est.) |
| Exchange rates: | 7.7322 (2013 est.) |
