| Economy | Suriname |
| Commercial bank prime lending rate: | 13.49% (31 December 2016 est.) |
| Stock of narrow money: | $1.158 billion (31 December 2017 est.) |
| Stock of narrow money: | $921.8 million (31 December 2016 est.) |
| Stock of broad money: | $1.158 billion (31 December 2017 est.) |
| Stock of broad money: | $921.8 million (31 December 2016 est.) |
| Stock of domestic credit: | $1.608 billion (31 December 2017 est.) |
| Stock of domestic credit: | $1.404 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | NA |
| Current account balance: | -$2 million (2017 est.) |
| Current account balance: | -$169 million (2016 est.) |
| Exports: | $2.028 billion (2017 est.) |
| Exports: | $1.449 billion (2016 est.) |
| Exports - partners: | Switzerland 38%, Hong Kong 21.9%, Belgium 10.1%, UAE 7.2%, Guyana 6.1% (2017) |
| Exports - commodities: | alumina, gold, crude oil, lumber, shrimp and fish, rice, bananas |
| Imports: | $1.293 billion (2017 est.) |
| Imports: | $1.203 billion (2016 est.) |
| Imports - commodities: | capital equipment, petroleum, foodstuffs, cotton, consumer goods |
| Imports - partners: | US 30.6%, Netherlands 14.8%, Trinidad and Tobago 11.4%, China 7.6% (2017) |
| Reserves of foreign exchange and gold: | $424.4 million (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $381.1 million (31 December 2016 est.) |
| Debt - external: | $1.7 billion (31 December 2017 est.) |
| Debt - external: | $1.436 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | (31 December 2009 est.) |
| Exchange rates: | Surinamese dollars (SRD) per US dollar - |
| Exchange rates: | 7.53 (2017 est.) |
| Exchange rates: | 6.229 (2016 est.) |
| Exchange rates: | 6.229 (2015 est.) |
| Exchange rates: | 3.4167 (2014 est.) |
| Exchange rates: | 3.3 (2013 est.) |
