| Economy | KENYA |
| Gross national saving: | 13.1% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 81.1% |
| GDP - composition, by end use: | government consumption: 14% |
| GDP - composition, by end use: | investment in fixed capital: 20.5% |
| GDP - composition, by end use: | investment in inventories: -0.5% |
| GDP - composition, by end use: | exports of goods and services: 16.9% |
| GDP - composition, by end use: | imports of goods and services: -32.1% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 29.3% |
| GDP - composition, by sector of origin: | industry: 17.7% |
| GDP - composition, by sector of origin: | services: 53% (2014 est.) |
| Agriculture - products: | tea, coffee, corn, wheat, sugarcane, fruit, vegetables; dairy products, beef, fish, pork, poultry, eggs |
| Industries: | small-scale consumer goods (plastic, furniture, batteries, textiles, clothing, soap, cigarettes, flour), agricultural products, horticulture, oil refining; aluminum, steel, lead; cement, commercial ship repair, tourism |
| Industrial production growth rate: | 4.7% (2014 est.) |
| Labor force: | 17.7 million (2014 est.) |
| Labor force - by occupation: | agriculture: 75% |
| Labor force - by occupation: | industry and services: 25% (2007 est.) |
| Unemployment rate: | 40% (2013 est.) |
| Unemployment rate: | 40% (2001 est.) |
| Population below poverty line: | 43.4% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.8% |
| Household income or consumption by percentage share: | highest 10%: 37.8% (2005) |
| Distribution of family income - Gini index: | 42.5 (2008 est.) |
| Distribution of family income - Gini index: | 44.9 (1997) |
| Budget: | revenues: $11.78 billion |
| Budget: | expenditures: $15.05 billion (2014 est.) |
| Taxes and other revenues: | 18.8% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -5.2% of GDP (2014 est.) |
| Public debt: | 58.9% of GDP (2014 est.) |
| Public debt: | 55.6% of GDP (2013 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 6.9% (2014 est.) |
| Inflation rate (consumer prices): | 5.7% (2013 est.) |
| Central bank discount rate: | 7% (31 December 2010) |
| Commercial bank prime lending rate: | 16.5% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 17.31% (31 December 2013 est.) |
| Stock of narrow money: | $11.3 billion (31 December 2014 est.) |
| Stock of narrow money: | $9.134 billion (31 December 2013 est.) |
| Stock of broad money: | $24.02 billion (31 December 2014 est.) |
| Stock of broad money: | $18.92 billion (31 December 2013 est.) |
| Stock of domestic credit: | $34 billion (31 December 2014 est.) |
| Stock of domestic credit: | $23.61 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $14.79 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $10.2 billion (31 December 2011) |
| Market value of publicly traded shares: | $14.46 billion (31 December 2010 est.) |
| Current account balance: | -$5.01 billion (2014 est.) |
| Current account balance: | -$4.788 billion (2013 est.) |
| Exports: | $6.271 billion (2014 est.) |
| Exports: | $5.796 billion (2013 est.) |
| Exports - commodities: | tea, horticultural products, coffee, petroleum products, fish, cement |
| Exports - partners: | Uganda 11.8%, US 7.7%, Netherlands 7.5%, Tanzania 7.4%, Zambia 5.7%, UK 5.6%, Egypt 4.4%, Pakistan 4.3%, UAE 4.1% (2014) |
| Imports: | $16.47 billion (2014 est.) |
| Imports: | $15.53 billion (2013 est.) |
| Imports - commodities: | machinery and transportation equipment, petroleum products, motor vehicles, iron and steel, resins and plastics |
| Imports - partners: | China 23.4%, India 21.3%, US 7.6%, UAE 6%, Japan 4.5% (2014) |
| Reserves of foreign exchange and gold: | $9.259 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $6.599 billion (31 December 2013 est.) |
| Debt - external: | $16.77 billion (31 December 2014 est.) |
| Debt - external: | $13.18 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $4.171 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $3.39 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $350.5 million (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $335.5 million (31 December 2013 est.) |
| Exchange rates: | Kenyan shillings (KES) per US dollar - |
| Exchange rates: | 87.63 (2014 est.) |
| Exchange rates: | 86.123 (2013 est.) |
| Exchange rates: | 84.53 (2012 est.) |
| Exchange rates: | 88.811 (2011 est.) |
| Exchange rates: | 79.233 (2010 est.) |
