| Economy | Kenya |
| Current account balance: | -$57.594 billion (2019 est.) |
| Current account balance: | -$56.194 billion (2018 est.) |
| Exports: | $10.078 billion (2019 est.) |
| Exports: | $10.1 billion (2018 est.) |
| Exports: | $9.723 billion (2017 est.) |
| Exports - partners: | Uganda 10.8%, Pakistan 10.6%, US 8.1%, Netherlands 7.3%, UK 6.4%, Tanzania 4.8%, UAE 4.4% (2017) |
| Exports - commodities: | tea, horticultural products, coffee, petroleum products, fish, cement, apparel |
| Imports: | $18.729 billion (2019 est.) |
| Imports: | $19.116 billion (2018 est.) |
| Imports: | $18.653 billion (2017 est.) |
| Imports - commodities: | machinery and transportation equipment, oil, petroleum products, motor vehicles, iron and steel, resins and plastics |
| Imports - partners: | China 22.5%, India 9.9%, UAE 8.7%, Saudi Arabia 5.1%, Japan 4.5% (2017) |
| Reserves of foreign exchange and gold: | $7.354 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $7.256 billion (31 December 2016 est.) |
| Debt - external: | $27.59 billion (31 December 2017 est.) |
| Debt - external: | $37.7 billion (31 December 2016 est.) |
| Exchange rates: | Kenyan shillings (KES) per US dollar - |
| Exchange rates: | 111.45 (2020 est.) |
| Exchange rates: | 101.4 (2019 est.) |
| Exchange rates: | 102.4 (2018 est.) |
| Exchange rates: | 98.179 (2014 est.) |
| Exchange rates: | 87.921 (2013 est.) |
