| Economy | LEBANON |
| Exports: | $3.551 billion (2015 est.) |
| Exports - commodities: | jewelry, base metals, chemicals, consumer goods, fruit and vegetables, tobacco, construction minerals, electric power machinery and switchgear, textile fibers, paper |
| Exports - partners: | South Africa 21.1%, Saudi Arabia 9%, UAE 8%, Syria 6.7%, Iraq 5.4% (2016) |
| Imports: | $17.33 billion (2016 est.) |
| Imports: | $16.71 billion (2015 est.) |
| Imports - commodities: | petroleum products, cars, medicinal products, clothing, meat and live animals, consumer goods, paper, textile fabrics, tobacco, electrical machinery and equipment, chemicals |
| Imports - partners: | China 11.2%, Italy 7.5%, US 6.3%, Germany 6.2%, Greece 5.7%, Egypt 4.1% (2016) |
| Reserves of foreign exchange and gold: | $54.04 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $48.6 billion (31 December 2015 est.) |
| Debt - external: | $36.6 billion (31 December 2016 est.) |
| Debt - external: | $35.11 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Lebanese pounds (LBP) per US dollar - |
| Exchange rates: | 1,507.5 (2016 est.) |
| Exchange rates: | 1,507.5 (2015 est.) |
| Exchange rates: | 1,507.5 (2014 est.) |
| Exchange rates: | 1,507.5 (2013 est.) |
| Exchange rates: | 1,507.5 (2012 est.) |
