| Economy | LEBANON |
| Exports: | $4.1 billion (2014 est.) |
| Exports - commodities: | jewelry, base metals, chemicals, consumer goods, fruit and vegetables, tobacco, construction minerals, electric power machinery and switchgear, textile fibers, paper |
| Exports - partners: | Saudi Arabia 12.1%, UAE 10.6%, Iraq 7.6%, Syria 7.1%, South Africa 6.6% (2015) |
| Imports: | $16.71 billion (2015 est.) |
| Imports: | $19.16 billion (2014 est.) |
| Imports - commodities: | petroleum products, cars, medicinal products, clothing, meat and live animals, consumer goods, paper, textile fabrics, tobacco, electrical machinery and equipment, chemicals |
| Imports - partners: | China 11.5%, Italy 7.1%, Germany 6.8%, France 6%, US 5.7%, Russia 4.6%, Greece 4.4% (2015) |
| Reserves of foreign exchange and gold: | $48.6 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $50.5 billion (31 December 2014 est.) |
| Debt - external: | $37.08 billion (31 December 2015 est.) |
| Debt - external: | $34.42 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Lebanese pounds (LBP) per US dollar - |
| Exchange rates: | 1,507.5 (2015 est.) |
| Exchange rates: | 1,507.5 (2014 est.) |
| Exchange rates: | 1,507.5 (2013 est.) |
| Exchange rates: | 1,507.5 (2012 est.) |
| Exchange rates: | 1,507.5 (2011 est.) |
