| Economy | Lebanon |
| Current account balance: | $-4.859 billion (2011 est.) |
| Exports: | $5.615 billion (2012 est.) |
| Exports: | $5.386 billion (2011 est.) |
| Exports - commodities: | jewelry, base metals, chemicals, miscellaneous consumer goods, fruit and vegetables, tobacco, construction minerals, electric power machinery and switchgear, textile fibers, paper |
| Exports - partners: | South Africa 19.3%, Switzerland 12.2%, Saudi Arabia 8%, UAE 7.9%, Syria 6.6%, Iraq 4.7% (2012) |
| Imports: | $20.33 billion (2012 est.) |
| Imports: | $19.3 billion (2011 est.) |
| Imports - commodities: | petroleum products, cars, medicinal products, clothing, meat and live animals, consumer goods, paper, textile fabrics, tobacco, electrical machinery and equipment, chemicals |
| Imports - partners: | US 11.2%, Italy 8.6%, China 8.3%, France 7.2%, Germany 5.6%, Turkey 4.5%, Greece 4.2% (2012) |
| Reserves of foreign exchange and gold: | $52.5 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $48.14 billion (31 December 2011 est.) |
| Debt - external: | $25.16 billion (31 December 2012 est.) |
| Debt - external: | $24.88 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Lebanese pounds (LBP) per US dollar - |
| Exchange rates: | 1,507.5 (2012 est.) |
| Exchange rates: | 1,507.5 (2011 est.) |
| Exchange rates: | 1,507.5 (2010 est.) |
| Exchange rates: | 1,507.5 (2009) |
| Exchange rates: | 1,507.5 (2008) |
