| Economy | Malta |
| GDP - composition, by end use: | government consumption: 15.3% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 21.1% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.3% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 136.1% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -117.9% (2017 est.) |
| Ease of Doing Business Index scores: | 88.2 (2020) |
| Agriculture - products: | potatoes, cauliflower, grapes, wheat, barley, tomatoes, citrus, cut flowers, green peppers; pork, milk, poultry, eggs |
| Industries: | tourism, electronics, ship building and repair, construction, food and beverages, pharmaceuticals, footwear, clothing, tobacco, aviation services, financial services, information technology services |
| Industrial production growth rate: | -3.3% (2016 est.) |
| Labor force: | 223,000 (2019 est.) |
| Labor force - by occupation: | agriculture: 1.6% |
| Labor force - by occupation: | industry: 20.7% |
| Labor force - by occupation: | services: 77.7% (2016 est.) |
| Unemployment rate: | 0.78% (2019 est.) |
| Unemployment rate: | 0.89% (2018 est.) |
| Population below poverty line: | 16.3% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA |
| Household income or consumption by percentage share: | highest 10%: NA |
| Budget: | revenues: 5.076 billion (2017 est.) |
| Budget: | expenditures: 4.583 billion (2017 est.) |
| Taxes and other revenues: | 40.4% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 3.9% (of GDP) (2017 est.) |
| Public debt: | 50.7% of GDP (2017 est.) |
| Public debt: | 56.3% of GDP (2016 est.) |
| Public debt: | note: Malta reports public debt at nominal value outstanding at the end of the year, according to guidelines set out in the Maastricht Treaty for general government gross debt; the data include the following categories of government liabilities (as defined in ESA95): currency and deposits (AF.2), securities other than shares excluding financial derivatives (AF.3, excluding AF.34), and loans (AF.4); general government comprises the central, state, and local governments, and social security funds |
| Fiscal year: | calendar year |
| Current account balance: | $1.561 billion (2019 est.) |
| Current account balance: | $1.55 billion (2018 est.) |
| Exports: | $23.868 billion (2019 est.) |
| Exports: | $22.475 billion (2018 est.) |
| Exports: | $22.607 billion (2017 est.) |
| Exports - partners: | Germany 17.3%, France 10.2%, Italy 9.4%, Singapore 5.9%, Hong Kong 5.8%, US 5.7%, Japan 4.9%, Libya 4.5% (2017) |
| Exports - commodities: | machinery and mechanical appliances; mineral fuels, oils and petroleum products; pharmaceutical products; books and newspapers; aircraft/spacecraft and parts; toys, games, and sports equipment |
| Imports: | $21.94 billion (2019 est.) |
| Imports: | $20.335 billion (2018 est.) |
| Imports: | $20.257 billion (2017 est.) |
| Imports - commodities: | mineral fuels, oils and products; electrical machinery; aircraft/spacecraft and parts thereof; machinery and mechanical appliances; plastic and other semi-manufactured goods; vehicles and parts |
| Imports - partners: | Italy 23%, Germany 7.9%, UK 7.7%, Spain 5%, Canada 4.5%, US 4.3%, France 4.2% (2017) |
| Reserves of foreign exchange and gold: | $833 million (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $677.1 million (31 December 2016 est.) |
| Debt - external: | $90.98 billion (September 2016 est.) |
| Debt - external: | $99.02 billion (31 December 2015 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.82771 (2020 est.) |
| Exchange rates: | 0.90338 (2019 est.) |
| Exchange rates: | 0.87789 (2018 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
