| Economy | MALTA |
| GDP - composition, by end use: | imports of goods and services: -139.5% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.1% |
| GDP - composition, by sector of origin: | industry: 23.7% |
| GDP - composition, by sector of origin: | services: 75.2% (2014 est.) |
| Agriculture - products: | potatoes, cauliflower, grapes, wheat, barley, tomatoes, citrus, cut flowers, green peppers; pork, milk, poultry, eggs |
| Industries: | tourism, electronics, ship building and repair, construction, food and beverages, pharmaceuticals, footwear, clothing, tobacco, aviation services, financial services, information technology services |
| Industrial production growth rate: | -3.6% (2014) |
| Labor force: | 180,100 (2014 est.) |
| Labor force - by occupation: | agriculture: 1.5% |
| Labor force - by occupation: | industry: 25.7% |
| Labor force - by occupation: | services: 72.8% (2014) |
| Unemployment rate: | 5.9% (2014 est.) |
| Unemployment rate: | 6.4% (2013 est.) |
| Population below poverty line: | 15.7% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Distribution of family income - Gini index: | 27.9 (2013) |
| Distribution of family income - Gini index: | 27.1 (2012) |
| Budget: | revenues: $4.721 billion |
| Budget: | expenditures: $4.918 billion (2015 est.) |
| Taxes and other revenues: | 44.7% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -1.9% of GDP (2015 est.) |
| Public debt: | 75.3% of GDP (2014 est.) |
| Public debt: | 69.2% of GDP (2013 est.) |
| Public debt: | note: Malta reports public debt at nominal value outstanding at the end of the year, according to guidelines set out in the Maastricht Treaty for general government gross debt; the data include the following categories of government liabilities (as defined in ESA95): currency and deposits (AF.2), securities other than shares excluding financial derivatives (AF.3, excluding AF.34), and loans (AF.4); general government comprises the central government, state government, local government and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.3% (2014 est.) |
| Inflation rate (consumer prices): | 1.4% (2013 est.) |
| Central bank discount rate: | 0.05% (31 December 2014) |
| Central bank discount rate: | 0.25% (31 December 2013) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 0.3% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 0.75% (31 December 2013 est.) |
| Stock of narrow money: | $12.63 billion (31 December 2014 est.) |
| Stock of narrow money: | $9.928 billion (31 December 2013 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $19.12 billion (31 December 2014 est.) |
| Stock of broad money: | $16.72 billion (31 December 2013 est.) |
| Stock of domestic credit: | $20.94 billion (31 December 2014 est.) |
| Stock of domestic credit: | $20.38 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $3.631 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $3.424 billion (31 December 2011) |
| Market value of publicly traded shares: | $2.399 billion (31 December 2010 est.) |
| Current account balance: | $286 million (2014 est.) |
| Current account balance: | $311.7 million (2013 est.) |
| Exports: | $4.938 billion (2014 est.) |
| Exports: | $5.105 billion (2013 est.) |
| Exports - commodities: | machinery and mechanical appliances; mineral fuels, oils and petroleum products; pharmaceutical products; books and newspapers; aircraft/spacecraft and parts; toys, games, and sports equipment |
| Exports - partners: | Germany 20.1%, France 12.8%, Italy 9.3%, Libya 6.7%, UK 6.6% (2014) |
| Imports: | $8.384 billion (2014 est.) |
| Imports: | $7.437 billion (2013 est.) |
| Imports - commodities: | mineral fuels, oils and products; electrical machinery; aircraft/spacecraft and parts thereof; machinery and mechanical appliances; plastic and other semi-manufactured goods; vehicles and parts |
| Imports - partners: | Italy 22.8%, US 8.6%, UK 7.4%, Germany 5.9%, Canada 5.6%, Spain 4.6%, Netherlands 4.5%, France 4.4% (2014) |
| Reserves of foreign exchange and gold: | $617.4 million (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $596.9 million (31 December 2013 est.) |
| Debt - external: | $122.8 billion (30 December 2014 est.) |
| Debt - external: | $112.7 billion (31 December 2013) |
| Stock of direct foreign investment - at home: | $47.34 billion (31 June 2014) |
| Stock of direct foreign investment - at home: | $46.35 billion (31 December 2013) |
| Stock of direct foreign investment - abroad: | $177.6 billion (31 June 2014 est.) |
| Stock of direct foreign investment - abroad: | $181.7 billion (31 December 2013) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7489 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
| Exchange rates: | 0.755 (2010 est.) |
