| Economy | France |
| Population below poverty line: | 6.2% (2004) |
| Household income or consumption by percentage share: | lowest 10%: 3% |
| Household income or consumption by percentage share: | highest 10%: 24.8% (2004) |
| Distribution of family income - Gini index: | 32.7 (2008) |
| Distribution of family income - Gini index: | 32.7 (1995) |
| Investment (gross fixed): | 19.9% of GDP (2012 est.) |
| Budget: | revenues: $1.341 trillion |
| Budget: | expenditures: $1.458 trillion (2012 est.) |
| Taxes and other revenues: | 52% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -4.5% of GDP (2012 est.) |
| Public debt: | 89.1% of GDP (2012 est.) |
| Public debt: | 86.1% of GDP (2011 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Inflation rate (consumer prices): | 2.3% (2012 est.) |
| Inflation rate (consumer prices): | 2.3% (2011 est.) |
| Central bank discount rate: | 1.5% (31 December 2012) |
| Central bank discount rate: | 1.75% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 3.6% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 3.43% (31 December 2011 est.) |
| Stock of narrow money: | $928.5 billion (31 December 2012 est.) |
| Stock of narrow money: | $901.6 billion (31 December 2011 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $2.571 trillion (31 December 2012 est.) |
| Stock of broad money: | $2.499 trillion (31 December 2011 est.) |
| Stock of domestic credit: | $3.484 trillion (31 December 2012 est.) |
| Stock of domestic credit: | $3.448 trillion (31 December 2011 est.) |
| Market value of publicly traded shares: | $1.569 trillion (31 December 2011) |
| Market value of publicly traded shares: | $1.926 trillion (31 December 2010) |
| Market value of publicly traded shares: | $1.972 trillion (31 December 2009) |
| Agriculture - products: | wheat, cereals, sugar beets, potatoes, wine grapes; beef, dairy products; fish |
| Industrial production growth rate: | 2.4% (2011 est.) |
| Current account balance: | -$58.7 billion (2012 est.) |
| Current account balance: | -$54.44 billion (2011 est.) |
| Exports: | $567.5 billion (2012 est.) |
| Exports: | $589.7 billion (2011 est.) |
| Exports - commodities: | machinery and transportation equipment, aircraft, plastics, chemicals, pharmaceutical products, iron and steel, beverages |
| Exports - partners: | Germany 16.7%, Italy 8.3%, Spain 7.4%, Belgium 7.4%, UK 6.7%, US 5%, Netherlands 4.3% (2011) |
| Imports: | $658.9 billion (2012 est.) |
| Imports: | $692 billion (2011 est.) |
| Imports - commodities: | machinery and equipment, vehicles, crude oil, aircraft, plastics, chemicals |
| Imports - partners: | Germany 19.1%, Belgium 11.3%, Italy 7.7%, Netherlands 7.5%, Spain 6.6%, UK 5.1%, China 4.8% (2011) |
| Reserves of foreign exchange and gold: | $171.9 billion (31 December 2011 est.) |
| Reserves of foreign exchange and gold: | $166.2 billion (2010 est.) |
| Debt - external: | $5.633 trillion (30 June 2011) |
| Debt - external: | $4.698 trillion (30 June 2010) |
| Stock of direct foreign investment - at home: | $1.11 trillion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $1.049 trillion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $1.702 trillion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $1.615 trillion (31 December 2011 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7838 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
| Exchange rates: | 755 (2010 est.) |
| Exchange rates: | 0.7198 (2009 est.) |
| Exchange rates: | 0.6827 (2008 est.) |
| Fiscal year: | calendar year |
