| Economy | Peru |
| Industries: | mining and refining of minerals; steel, metal fabrication; petroleum extraction and refining, natural gas and natural gas liquefaction; fishing and fish processing, cement, glass, textiles, clothing, food processing, beer, soft drinks, rubber, machinery, electrical machinery, chemicals, furniture |
| Industrial production growth rate: | 4.5% (2012 est.) |
| Labor force: | 11.02 million |
| Labor force: | note: individuals older than 14 years of age (2012 est.) |
| Labor force - by occupation: | agriculture: 0.7% |
| Labor force - by occupation: | industry: 23.8% |
| Labor force - by occupation: | services: 75.5% (2005) |
| Unemployment rate: | 5.2% (2012 est.) |
| Unemployment rate: | 7.9% (2011 est.) |
| Unemployment rate: | note: data are for metropolitan Lima; widespread underemployment |
| Population below poverty line: | 27.8% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.4% |
| Household income or consumption by percentage share: | highest 10%: 36.1% (2010 est.) |
| Distribution of family income - Gini index: | 46 (2010) |
| Distribution of family income - Gini index: | 51 (2005) |
| Budget: | revenues: $62.19 billion |
| Budget: | expenditures: $57.9 billion (2012 est.) |
| Taxes and other revenues: | 31.7% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | 2.2% of GDP (2012 est.) |
| Public debt: | 16.6% of GDP (2012 est.) |
| Public debt: | 19.9% of GDP (2011 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued by government entities other than the treasury; the data exclude treasury debt held by foreign entities; the data include debt issued by subnational entities |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.7% (2012 est.) |
| Inflation rate (consumer prices): | 3.4% (2011 est.) |
| Inflation rate (consumer prices): | note: data are for metropolitan Lima, annual average |
| Central bank discount rate: | 5.05% (31 December 2012) |
| Central bank discount rate: | 5.05% (31 December 2011) |
| Commercial bank prime lending rate: | 19.23% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 18.69% (31 December 2011 est.) |
| Commercial bank prime lending rate: | note: domestic currency lending rate, 90 day maturity |
| Stock of narrow money: | $32.61 billion (31 December 2012 est.) |
| Stock of narrow money: | $25.15 billion (31 December 2011 est.) |
| Stock of broad money: | $73.97 billion (31 December 2012 est.) |
| Stock of broad money: | $64.6 billion (31 December 2011 est.) |
| Stock of domestic credit: | $36.76 billion (31 December 2012 est.) |
| Stock of domestic credit: | $33.15 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $153.4 billion (31 December 2012) |
| Market value of publicly traded shares: | $121.6 billion (31 December 2011) |
| Market value of publicly traded shares: | $160.9 billion (31 December 2010) |
| Current account balance: | $-7.137 billion (2012 est.) |
| Current account balance: | $-3.341 billion (2011 est.) |
| Exports: | $45.64 billion (2012 est.) |
| Exports: | $46.27 billion (2011 est.) |
| Exports - commodities: | copper, gold, lead, zinc, tin, iron ore, molybdenum, silver; crude petroleum and petroleum products, natural gas; coffee, asparagus and other vegetables, fruit, apparel and textiles, fishmeal, fish, chemicals, fabricated metal products and machinery, alloys |
| Exports - partners: | China 19.9%, US 15.7%, Canada 9.5%, Japan 6.6%, Spain 5.2%, Chile 4.9% (2012) |
| Imports: | $41.11 billion (2012 est.) |
| Imports: | $36.97 billion (2011 est.) |
| Imports - commodities: | petroleum and petroleum products, chemicals, plastics, machinery, vehicles, color TV sets, power shovels, front-end loaders, telephones and telecommunication equipment, iron and steel, wheat, corn, soybean products, paper, cotton, vaccines and medicines |
| Imports - partners: | US 24.6%, China 14%, Brazil 6.4%, Argentina 5%, Chile 4.8%, Colombia 4.2%, Ecuador 4.1%, Mexico 4% (2012) |
| Reserves of foreign exchange and gold: | $64.17 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $48.93 billion (31 December 2011 est.) |
| Debt - external: | $50.47 billion (31 December 2012 est.) |
| Debt - external: | $44.87 billion (31 December 2011 est.) |
| Debt - external: | note: public debt component of total: $20.6 billion (31 December 2009) |
| Stock of direct foreign investment - at home: | $63.51 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $51.21 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $3.041 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $3.099 billion (31 December 2011 est.) |
| Exchange rates: | nuevo sol (PEN) per US dollar - |
| Exchange rates: | 2.64 (2012 est.) |
| Exchange rates: | 2.75 (2011 est.) |
| Exchange rates: | 2.83 (2010 est.) |
| Exchange rates: | 3.01 (2009) |
| Exchange rates: | 2.91 (2008) |
