| Economy | Peru |
| GDP - composition, by sector of origin: | industry: 32.7% (2017 est.) |
| GDP - composition, by sector of origin: | services: 59.9% (2017 est.) |
| Agriculture - products: | artichokes, asparagus, avocados, blueberries, coffee, cocoa, cotton, sugarcane, rice, potatoes, corn, plantains, grapes, oranges, pineapples, guavas, bananas, apples, lemons, pears, coca, tomatoes, mangoes, barley, medicinal plants, quinoa, palm oil, marigolds, onions, wheat, dry beans; poultry, beef, pork, dairy products; guinea pigs; fish |
| Industries: | mining and refining of minerals; steel, metal fabrication; petroleum extraction and refining, natural gas and natural gas liquefaction; fishing and fish processing, cement, glass, textiles, clothing, food processing, beer, soft drinks, rubber, machinery, electrical machinery, chemicals, furniture |
| Industrial production growth rate: | 2.7% (2017 est.) |
| Labor force: | 17.03 million (2017 est.) |
| Labor force: | note: individuals older than 14 years of age |
| Labor force - by occupation: | agriculture: 25.8% |
| Labor force - by occupation: | industry: 17.4% |
| Labor force - by occupation: | services: 56.8% (2011) |
| Unemployment rate: | 6.9% (2017 est.) |
| Unemployment rate: | 6.7% (2016 est.) |
| Unemployment rate: | note: data are for metropolitan Lima; widespread underemployment |
| Population below poverty line: | 22.7% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 36.1% (2010 est.) |
| Household income or consumption by percentage share: | highest 10%: 36.1% (2010 est.) |
| Distribution of family income - Gini index: | 45.3 (2012) |
| Distribution of family income - Gini index: | 51 (2005) |
| Budget: | revenues: 58.06 billion (2017 est.) |
| Budget: | expenditures: 64.81 billion (2017 est.) |
| Taxes and other revenues: | 27.1% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -3.1% (of GDP) (2017 est.) |
| Public debt: | 25.4% of GDP (2017 est.) |
| Public debt: | 24.5% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued by government entities other than the treasury; the data exclude treasury debt held by foreign entities; the data include debt issued by subnational entities |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.8% (2017 est.) |
| Inflation rate (consumer prices): | 3.6% (2016 est.) |
| Inflation rate (consumer prices): | note: data are for metropolitan Lima, annual average |
| Central bank discount rate: | 4.25% (31 December 2016 est.) |
| Central bank discount rate: | 5.05% (31 December 2012) |
| Commercial bank prime lending rate: | 16.6% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 16.47% (31 December 2016 est.) |
| Commercial bank prime lending rate: | note: domestic currency lending rate, 90 day maturity |
| Stock of narrow money: | $33.41 billion (31 December 2017 est.) |
| Stock of narrow money: | $31.08 billion (31 December 2016 est.) |
| Stock of broad money: | $33.41 billion (31 December 2017 est.) |
| Stock of broad money: | $31.08 billion (31 December 2016 est.) |
| Stock of domestic credit: | $56.7 billion (31 December 2017 est.) |
| Stock of domestic credit: | $52.8 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $56.56 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $78.84 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $80.98 billion (31 December 2013 est.) |
| Current account balance: | -$2.414 billion (2017 est.) |
| Current account balance: | -$5.239 billion (2016 est.) |
| Exports: | $44.92 billion (2017 est.) |
| Exports: | $37.02 billion (2016 est.) |
| Exports - partners: | China 26.5%, US 15.2%, Switzerland 5.2%, South Korea 4.4%, Spain 4.1%, India 4.1% (2017) |
| Exports - commodities: | copper, gold, lead, zinc, tin, iron ore, molybdenum, silver; crude petroleum and petroleum products, natural gas; coffee, asparagus and other vegetables, fruit, apparel and textiles, fishmeal, fish, chemicals, fabricated metal products and machinery, alloys |
| Imports: | $38.65 billion (2017 est.) |
| Imports: | $35.13 billion (2016 est.) |
| Imports - commodities: | petroleum and petroleum products, chemicals, plastics, machinery, vehicles, TV sets, power shovels, front-end loaders, telephones and telecommunication equipment, iron and steel, wheat, corn, soybean products, paper, cotton, vaccines and medicines |
| Imports - partners: | China 22.3%, US 20.1%, Brazil 6%, Mexico 4.4% (2017) |
| Reserves of foreign exchange and gold: | $63.83 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $61.81 billion (31 December 2016 est.) |
| Debt - external: | $66.25 billion (31 December 2017 est.) |
| Debt - external: | $66.76 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $98.24 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $91.48 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $5.447 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $4.255 billion (31 December 2016 est.) |
| Exchange rates: | nuevo sol (PEN) per US dollar - |
| Exchange rates: | 3.265 (2017 est.) |
| Exchange rates: | 3.3751 (2016 est.) |
| Exchange rates: | 3.3751 (2015 est.) |
| Exchange rates: | 3.185 (2014 est.) |
| Exchange rates: | 2.8383 (2013 est.) |
