| Economy | PERU |
| Market value of publicly traded shares: | $153.4 billion (31 December 2012) |
| Market value of publicly traded shares: | $121.6 billion (31 December 2011) |
| Market value of publicly traded shares: | $160.9 billion (31 December 2010) |
| Current account balance: | -$8.234 billion (2014 est.) |
| Current account balance: | -$9.126 billion (2013 est.) |
| Exports: | $36.43 billion (2014 est.) |
| Exports: | $42.18 billion (2013 est.) |
| Exports - commodities: | copper, gold, lead, zinc, tin, iron ore, molybdenum, silver; crude petroleum and petroleum products, natural gas; coffee, asparagus and other vegetables, fruit, apparel and textiles, fishmeal, fish, chemicals, fabricated metal products and machinery, alloys |
| Exports - partners: | China 18.3%, US 16.1%, Switzerland 6.9%, Canada 6.6%, Brazil 4.2%, Japan 4.1% (2014) |
| Imports: | $40.25 billion (2014 est.) |
| Imports: | $42.22 billion (2013 est.) |
| Imports - commodities: | petroleum and petroleum products, chemicals, plastics, machinery, vehicles, TV sets, power shovels, front-end loaders, telephones and telecommunication equipment, iron and steel, wheat, corn, soybean products, paper, cotton, vaccines and medicines |
| Imports - partners: | China 21%, US 21%, Brazil 4.7%, Mexico 4.6%, Ecuador 4.2% (2014) |
| Reserves of foreign exchange and gold: | $63.35 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $65.71 billion (31 December 2013 est.) |
| Debt - external: | $56.47 billion (31 December 2014 est.) |
| Debt - external: | $55.62 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $81.63 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $72.61 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $3.883 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $3.849 billion (31 December 2013 est.) |
| Exchange rates: | nuevo sol (PEN) per US dollar - |
| Exchange rates: | 2.836 (2014 est.) |
| Exchange rates: | 2.7019 (2013 est.) |
| Exchange rates: | 2.64 (2012 est.) |
| Exchange rates: | 2.7541 (2011 est.) |
| Exchange rates: | 2.8251 (2010 est.) |
