| Economy | CHINA |
| GDP - composition, by sector of origin: | industry: 42.6% |
| GDP - composition, by sector of origin: | services: 48.2% |
| GDP - composition, by sector of origin: | (2014 est.) |
| Agriculture - products: | world leader in gross value of agricultural output; rice, wheat, potatoes, corn, peanuts, tea, millet, barley, apples, cotton, oilseed; pork; fish |
| Industries: | world leader in gross value of industrial output; mining and ore processing, iron, steel, aluminum, and other metals, coal; machine building; armaments; textiles and apparel; petroleum; cement; chemicals; fertilizers; consumer products (including footwear, toys, and electronics); food processing; transportation equipment, including automobiles, rail cars and locomotives, ships, aircraft; telecommunications equipment, commercial space launch vehicles, satellites |
| Industrial production growth rate: | 7% (2014 est.) |
| Labor force: | 801.6 million |
| Labor force: | note: by the end of 2012, China's population at working age (15-64 years) was 1.004 billion (2014 est.) |
| Labor force - by occupation: | agriculture: 33.6% |
| Labor force - by occupation: | industry: 30.3% |
| Labor force - by occupation: | services: 36.1% |
| Labor force - by occupation: | (2012 est.) |
| Unemployment rate: | 4.1% (2014 est.) |
| Unemployment rate: | 4.1% (2013 est.) |
| Unemployment rate: | note: data are for registered urban unemployment, which excludes private enterprises and migrants |
| Population below poverty line: | 6.1% |
| Population below poverty line: | note: in 2011, China set a new poverty line at RMB 2300 (approximately US $400) |
| Population below poverty line: | (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.7% |
| Household income or consumption by percentage share: | highest 10%: 30% |
| Household income or consumption by percentage share: | note: data are for urban households only (2009) |
| Distribution of family income - Gini index: | 46.9 (2014 est.) |
| Distribution of family income - Gini index: | 47.3 (2013 est.) |
| Budget: | revenues: $2.285 trillion |
| Budget: | expenditures: $2.469 trillion (2014 est.) |
| Taxes and other revenues: | 22.1% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -1.8% of GDP (2014 est.) |
| Public debt: | 15.1% of GDP (2014 est.) |
| Public debt: | 15.3% of GDP (2013 est.) |
| Public debt: | note: official data; data cover both central government debt and local government debt, which China's National Audit Office estimated at RMB 10.72 trillion (approximately US$1.66 trillion) in 2011; data exclude policy bank bonds, Ministry of Railway debt, China Asset Management Company debt, and non-performing loans |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2% (2014 est.) |
| Inflation rate (consumer prices): | 2.6% (2013 est.) |
| Central bank discount rate: | 2.25% (31 December 2014 est.) |
| Central bank discount rate: | 2.25% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 5.6% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 6% (31 December 2013 est.) |
| Stock of narrow money: | $5.667 trillion (31 December 2014 est.) |
| Stock of narrow money: | $5.528 trillion (31 December 2013 est.) |
| Stock of broad money: | $20 trillion (31 December 2014 est.) |
| Stock of broad money: | $18.13 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $13.3 trillion (31 December 2014 est.) |
| Stock of domestic credit: | $15.19 trillion (31 December 2013 est.) |
| Market value of publicly traded shares: | $6.065 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $6.499 trillion (31 December 2013) |
| Market value of publicly traded shares: | $5.753 trillion (31 December 2012 est.) |
| Current account balance: | $219.7 billion (2014 est.) |
| Current account balance: | $182.8 billion (2013 est.) |
| Exports: | $2.343 trillion (2014 est.) |
| Exports: | $2.209 trillion (2013 est.) |
| Exports - commodities: | electrical and other machinery, including data processing equipment, apparel, furniture, textiles, integrated circuits |
| Exports - partners: | US 16.9%, Hong Kong 15.5%, Japan 6.4%, South Korea 4.3% (2014 est.) |
| Imports: | $1.96 trillion (2014 est.) |
| Imports: | $1.95 trillion (2013 est.) |
| Imports - commodities: | electrical and other machinery, oil and mineral fuels; nuclear reactor, boiler, and machinery components; optical and medical equipment, metal ores, motor vehicles; soybeans |
| Imports - partners: | South Korea 9.7%, Japan 8.3%, US 8.1%, Taiwan 7.8%, Germany 5.4%, Australia 5% (2014 est.) |
| Reserves of foreign exchange and gold: | $3.899 trillion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $3.88 trillion (31 December 2013 est.) |
| Debt - external: | $894.9 billion (31 December 2014 est.) |
| Debt - external: | $863.2 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $1.287 trillion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $956.8 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $646.3 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $613.6 billion (31 December 2013 est.) |
| Exchange rates: | Renminbi yuan (RMB) per US dollar - |
| Exchange rates: | 6.1428 (2014 est.) |
| Exchange rates: | 6.1958 (2013 est.) |
| Exchange rates: | 6.31 (2012 est.) |
| Exchange rates: | 6.4615 (2011 est.) |
| Exchange rates: | 6.7703 (2010 est.) |
