| Economy | CHINA |
| GDP (official exchange rate): | note: because China's exchange rate is determined by fiat rather than by market forces, the official exchange rate measure of GDP is not an accurate measure of China's output; GDP at the official exchange rate substantially understates the actual level of China's output vis-a-vis the rest of the world; in China's situation, GDP at purchasing power parity provides the best measure for comparing output across countries |
| GDP - real growth rate: | 6.7% (2016 est.) |
| GDP - real growth rate: | 6.9% (2015 est.) |
| GDP - real growth rate: | 7.3% (2014 est.) |
| GDP - per capita (PPP): | $15,400 (2016 est.) |
| GDP - per capita (PPP): | $14,500 (2015 est.) |
| GDP - per capita (PPP): | $13,600 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 45.9% of GDP (2016 est.) |
| Gross national saving: | 47.5% of GDP (2015 est.) |
| Gross national saving: | 49% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 39.2% |
| GDP - composition, by end use: | government consumption: 14.4% |
| GDP - composition, by end use: | investment in fixed capital: 42.7% |
| GDP - composition, by end use: | investment in inventories: 1.4% |
| GDP - composition, by end use: | exports of goods and services: 19.5% |
| GDP - composition, by end use: | imports of goods and services: -17.3% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 8.6% |
| GDP - composition, by sector of origin: | industry: 39.8% |
| GDP - composition, by sector of origin: | services: 51.6% |
| GDP - composition, by sector of origin: | (2016 est.) |
| Agriculture - products: | world leader in gross value of agricultural output; rice, wheat, potatoes, corn, tobacco, peanuts, tea, apples, cotton, pork, mutton, eggs; fish, shrimp |
| Industries: | world leader in gross value of industrial output; mining and ore processing, iron, steel, aluminum, and other metals, coal; machine building; armaments; textiles and apparel; petroleum; cement; chemicals; fertilizer; consumer products (including footwear, toys, and electronics); food processing; transportation equipment, including automobiles, railcars and locomotives, ships, aircraft; telecommunications equipment, commercial space launch vehicles, satellites |
| Industrial production growth rate: | 6.1% (2016 est.) |
| Labor force: | 807.1 million |
| Labor force: | note: by the end of 2012, China's population at working age (15-64 years) was 1.004 billion (2016 est.) |
| Labor force - by occupation: | agriculture: 28.3% |
| Labor force - by occupation: | industry: 29.3% |
| Labor force - by occupation: | services: 42.4% |
| Labor force - by occupation: | (2015 est.) |
| Unemployment rate: | 4% (2016 est.) |
| Unemployment rate: | 4% (2015 est.) |
| Unemployment rate: | note: data are for registered urban unemployment, which excludes private enterprises and migrants |
| Population below poverty line: | 3.3% |
| Population below poverty line: | note: in 2011, China set a new poverty line at RMB 2300 (approximately US $400) |
| Population below poverty line: | (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.1% |
| Household income or consumption by percentage share: | highest 10%: 31.4% |
| Household income or consumption by percentage share: | note: data are for urban households only (2012) |
| Distribution of family income - Gini index: | 46.5 (2016 est.) |
| Distribution of family income - Gini index: | 46.2 (2015 est.) |
| Budget: | revenues: $2.402 trillion |
| Budget: | expenditures: $2.826 trillion (2016 est.) |
| Taxes and other revenues: | 21.4% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -3.8% of GDP (2016 est.) |
| Public debt: | 16.1% of GDP (2016 est.) |
| Public debt: | 15.2% of GDP (2015 est.) |
| Public debt: | note: official data; data cover both central government debt and local government debt, including debt officially recognized by China's National Audit Office report in 2011; data exclude policy bank bonds, Ministry of Railway debt, and China Asset Management Company debt |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2% (2016 est.) |
| Inflation rate (consumer prices): | 1.5% (2015 est.) |
| Central bank discount rate: | 2.25% (31 December 2016 est.) |
| Central bank discount rate: | 2.25% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 4.35% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 4.35% (31 December 2015 est.) |
| Stock of narrow money: | $7.001 trillion (31 December 2016 est.) |
| Stock of narrow money: | $6.176 trillion (31 December 2015 est.) |
| Stock of broad money: | $22.3 trillion (31 December 2016 est.) |
| Stock of broad money: | $21.45 trillion (31 December 2015 est.) |
| Stock of domestic credit: | $23.02 trillion (31 December 2016 est.) |
| Stock of domestic credit: | $20.53 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $7.321 trillion (31 December 2016 est.) |
| Market value of publicly traded shares: | $8.188 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $6.005 trillion (31 December 2014 est.) |
| Current account balance: | $196.4 billion (2016 est.) |
| Current account balance: | $304.2 billion (2015 est.) |
| Exports: | $1.99 trillion (2016 est.) |
| Exports: | $2.143 trillion (2015 est.) |
| Exports - commodities: | electrical and other machinery, including computers and telecommunications equipment, apparel, furniture, textiles |
| Exports - partners: | US 18.2%, Hong Kong 13.8%, Japan 6.1%, South Korea 4.5% (2016) |
| Imports: | $1.495 trillion (2016 est.) |
| Imports: | $1.567 trillion (2015 est.) |
| Imports - commodities: | electrical and other machinery, including integrated circuits and other computer components, oil and mineral fuels; optical and medical equipment, metal ores, motor vehicles; soybeans |
| Imports - partners: | South Korea 10%, Japan 9.2%, US 8.5%, Germany 5.4%, Australia 4.4% (2016) |
| Reserves of foreign exchange and gold: | $3.098 trillion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $3.406 trillion (31 December 2015 est.) |
| Debt - external: | $1.467 trillion (31 December 2016 est.) |
| Debt - external: | $1.418 trillion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $1.391 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $1.221 trillion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $1.227 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $1.01 trillion (31 December 2015 est.) |
| Exchange rates: | Renminbi yuan (RMB) per US dollar - |
| Exchange rates: | 6.6446 (2016 est.) |
| Exchange rates: | 6.6446 (2015 est.) |
| Exchange rates: | 6.2275 (2014 est.) |
| Exchange rates: | 6.1958 (2013 est.) |
| Exchange rates: | 6.3123 (2012 est.) |
