| Economy | Taiwan |
| GDP - composition, by sector of origin: | services: 62.1% (2017 est.) |
| GDP - composition, by end use: | household consumption: 53% (2017 est.) |
| GDP - composition, by end use: | government consumption: 14.1% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 20.5% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -0.2% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 65.2% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -52.6% (2017 est.) |
| Ease of Doing Business Index scores: | 84.9 (2020) |
| Agriculture - products: | rice, vegetables, fruit, tea, flowers; pigs, poultry; fish |
| Industries: | electronics, communications and information technology products, petroleum refining, chemicals, textiles, iron and steel, machinery, cement, food processing, vehicles, consumer products, pharmaceuticals |
| Industrial production growth rate: | 3.9% (2017 est.) |
| Labor force: | 11.498 million (2020 est.) |
| Labor force - by occupation: | agriculture: 4.9% |
| Labor force - by occupation: | industry: 35.9% |
| Labor force - by occupation: | services: 59.2% (2016 est.) |
| Unemployment rate: | 3.73% (2019 est.) |
| Unemployment rate: | 3.69% (2018 est.) |
| Population below poverty line: | 1.5% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 6.4% (2010) |
| Household income or consumption by percentage share: | highest 10%: 40.3% (2010) |
| Budget: | revenues: 91.62 billion (2017 est.) |
| Budget: | expenditures: 92.03 billion (2017 est.) |
| Taxes and other revenues: | 16% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -0.1% (of GDP) (2017 est.) |
| Public debt: | 35.7% of GDP (2017 est.) |
| Public debt: | 36.2% of GDP (2016 est.) |
| Public debt: | note: data for central government |
| Fiscal year: | calendar year |
| Current account balance: | $65.173 billion (2019 est.) |
| Current account balance: | $70.843 billion (2018 est.) |
| Exports: | $388.49 billion (2019 est.) |
| Exports: | $383.484 billion (2018 est.) |
| Exports: | $382.736 billion (2017 est.) |
| Exports - partners: | China 27.9%, US 14.1%, Hong Kong 12.3%, Japan 7.1%, Singapore 5.5%, South Korea 5.1% (2019) |
| Exports - commodities: | semiconductors, petrochemicals, automobile/auto parts, ships, wireless communication equipment, flat display displays, steel, electronics, plastics, computers |
| Imports: | $308.744 billion (2019 est.) |
| Imports: | $305.428 billion (2018 est.) |
| Imports: | $303.067 billion (2017 est.) |
| Imports - commodities: | oil/petroleum, semiconductors, natural gas, coal, steel, computers, wireless communication equipment, automobiles, fine chemicals, textiles |
| Imports - partners: | China 20.1%, Japan 15.4%, US 12.3%, South Korea 6.2% (2019) |
| Reserves of foreign exchange and gold: | $456.7 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $439 billion (31 December 2016 est.) |
| Debt - external: | $181.9 billion (31 December 2017 est.) |
| Debt - external: | $172.2 billion (31 December 2016 est.) |
| Exchange rates: | New Taiwan dollars (TWD) per US dollar - |
| Exchange rates: | 28.211 (2020 est.) |
| Exchange rates: | 30.472 (2019 est.) |
| Exchange rates: | 30.8395 (2018 est.) |
| Exchange rates: | 31.911 (2014 est.) |
| Exchange rates: | 30.363 (2013 est.) |
