| Economy | Ireland |
| Imports - commodities: | data processing equipment, other machinery and equipment, chemicals, petroleum and petroleum products, textiles, clothing |
| Imports - partners: | UK 29%, US 18.9%, France 12.1%, Germany 9.6%, Netherlands 4.1% (2017) |
| Reserves of foreign exchange and gold: | $4.412 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $2.203 billion (31 December 2015 est.) |
| Debt - external: | $2.47 trillion (31 March 2016 est.) |
| Debt - external: | $2.35 trillion (31 March 2015 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.82771 (2020 est.) |
| Exchange rates: | 0.90338 (2019 est.) |
| Exchange rates: | 0.87789 (2018 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
