| Economy | Ireland |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.7% (2012 est.) |
| Inflation rate (consumer prices): | 2.6% (2011 est.) |
| Central bank discount rate: | 1.5% (31 December 2012) |
| Central bank discount rate: | 1.75% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 3.55% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 3.81% (31 December 2011 est.) |
| Stock of narrow money: | $122.3 billion (31 December 2012 est.) |
| Stock of narrow money: | $118.3 billion (31 December 2011 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $291.1 billion (31 December 2011 est.) |
| Stock of broad money: | $260 billion (31 December 2010 est.) |
| Stock of domestic credit: | $433.1 billion (31 December 2012 est.) |
| Stock of domestic credit: | $456.8 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $35.36 billion (31 December 2011) |
| Market value of publicly traded shares: | $33.72 billion (31 December 2010) |
| Market value of publicly traded shares: | $29.88 billion (31 December 2009) |
| Current account balance: | $9.245 billion (2012 est.) |
| Current account balance: | $2.828 billion (2011 est.) |
| Exports: | $119.3 billion (2012 est.) |
| Exports: | $127.5 billion (2011 est.) |
| Exports - commodities: | machinery and equipment, computers, chemicals, medical devices, pharmaceuticals; food products, animal products |
| Exports - partners: | US 17.9%, UK 17.3%, Belgium 15.6%, Germany 8.4%, Switzerland 5.8%, France 5% (2012) |
| Imports: | $63.63 billion (2012 est.) |
| Imports: | $67.2 billion (2011 est.) |
| Imports - commodities: | data processing equipment, other machinery and equipment, chemicals, petroleum and petroleum products, textiles, clothing |
| Imports - partners: | UK 39.8%, US 13.2%, Germany 7.6%, Netherlands 5.7% (2012) |
| Reserves of foreign exchange and gold: | $1.707 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $1.703 billion (31 December 2011 est.) |
| Debt - external: | $2.163 trillion (31 December 2012) |
| Debt - external: | $2.213 trillion (31 December 2011) |
| Stock of direct foreign investment - at home: | $725.8 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $669.4 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $766 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $709.7 billion (31 December 2011 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.72 (2011 est.) |
| Exchange rates: | 0.76 (2010 est.) |
| Exchange rates: | 0.72 (2009 est.) |
| Exchange rates: | 0.68 (2008 est.) |
