| Economy | IRELAND |
| Budget surplus (+) or deficit (-): | -4% of GDP (2014 est.) |
| Public debt: | 107.6% of GDP (2014 est.) |
| Public debt: | 117.9% of GDP (2013 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.3% (2014 est.) |
| Inflation rate (consumer prices): | 0.5% (2013 est.) |
| Central bank discount rate: | 0.75% (31 December 2013) |
| Central bank discount rate: | 1.5% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 3.41% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 3.28% (31 December 2013 est.) |
| Stock of narrow money: | $143.5 billion (31 December 2014 est.) |
| Stock of narrow money: | $158.9 billion (31 December 2013 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $255.3 billion (31 December 2014 est.) |
| Stock of broad money: | $267.4 billion (31 December 2013 est.) |
| Stock of domestic credit: | $380.3 billion (31 December 2014 est.) |
| Stock of domestic credit: | $477.3 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $109 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $108.1 billion (31 December 2011) |
| Market value of publicly traded shares: | $60.45 billion (31 December 2010 est.) |
| Current account balance: | $9.08 billion (2014 est.) |
| Current account balance: | $7.379 billion (2013 est.) |
| Exports: | $144.8 billion (2014 est.) |
| Exports: | $116.1 billion (2013 est.) |
| Exports - commodities: | machinery and equipment, computers, chemicals, medical devices, pharmaceuticals; foodstuffs, animal products |
| Exports - partners: | US 20.6%, UK 16%, Belgium 14.1%, Germany 6.8%, Switzerland 6.3%, France 5.6%, Netherlands 4.1% (2014) |
| Imports: | $84.38 billion (2014 est.) |
| Imports: | $66.1 billion (2013 est.) |
| Imports - commodities: | data processing equipment, other machinery and equipment, chemicals, petroleum and petroleum products, textiles, clothing |
| Imports - partners: | UK 38.8%, US 10.3%, Germany 8.5%, Netherlands 6.2%, China 4% (2014) |
| Reserves of foreign exchange and gold: | $1.748 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $1.635 billion (31 December 2013 est.) |
| Debt - external: | $1.748 billion (31 December 2014 est.) |
| Debt - external: | $1.635 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $831.9 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $788.5 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $939.6 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $913.7 billion (31 December 2013 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7489 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
| Exchange rates: | 0.755 (2010 est.) |
