| Economy | COSTA RICA |
| Reserves of foreign exchange and gold: | $7.834 billion (31 December 2015 est.) |
| Debt - external: | $24.3 billion (31 December 2016 est.) |
| Debt - external: | $23.67 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $31.84 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $28.66 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $3.781 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $3.285 billion (31 December 2015 est.) |
| Exchange rates: | Costa Rican colones (CRC) per US dollar - |
| Exchange rates: | 544.74 (2016 est.) |
| Exchange rates: | 544.74 (2015 est.) |
| Exchange rates: | 534.57 (2014 est.) |
| Exchange rates: | 538.32 (2013 est.) |
| Exchange rates: | 502.9 (2012 est.) |
