| Economy | COLOMBIA |
| GDP - composition, by end use: | government consumption: 18.4% |
| GDP - composition, by end use: | investment in fixed capital: 25.3% |
| GDP - composition, by end use: | investment in inventories: 0.2% |
| GDP - composition, by end use: | exports of goods and services: 14.1% |
| GDP - composition, by end use: | imports of goods and services: -20.6% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 7.1% |
| GDP - composition, by sector of origin: | industry: 32.6% |
| GDP - composition, by sector of origin: | services: 60.3% (2016 est.) |
| Agriculture - products: | coffee, cut flowers, bananas, rice, tobacco, corn, sugarcane, cocoa beans, oilseed, vegetables; shrimp; forest products |
| Industries: | textiles, food processing, oil, clothing and footwear, beverages, chemicals, cement; gold, coal, emeralds |
| Industrial production growth rate: | 0.6% (2016 est.) |
| Labor force: | 24.41 million (2016 est.) |
| Labor force - by occupation: | agriculture: 17% |
| Labor force - by occupation: | industry: 21% |
| Labor force - by occupation: | services: 62% (2011 est.) |
| Unemployment rate: | 9.2% (2016 est.) |
| Unemployment rate: | 8.9% (2015 est.) |
| Population below poverty line: | 27.8% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.1% |
| Household income or consumption by percentage share: | highest 10%: 42.2% (2014 est.) |
| Distribution of family income - Gini index: | 53.5 (2014) |
| Distribution of family income - Gini index: | 56.9 (1996) |
| Budget: | revenues: $75.9 billion |
| Budget: | expenditures: $82.73 billion (2016 est.) |
| Taxes and other revenues: | 26.9% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -2.4% of GDP (2016 est.) |
| Public debt: | 52% of GDP (2016 est.) |
| Public debt: | 50.2% of GDP (2015 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 7.5% (2016 est.) |
| Inflation rate (consumer prices): | 5% (2015 est.) |
| Central bank discount rate: | 7.5% (31 December 2016) |
| Central bank discount rate: | 6.5% (31 December 2014) |
| Commercial bank prime lending rate: | 14.65% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 11.45% (31 December 2015 est.) |
| Stock of narrow money: | $34.01 billion (31 December 2016 est.) |
| Stock of narrow money: | $32.82 billion (31 December 2015 est.) |
| Stock of broad money: | $136 billion (31 December 2016 est.) |
| Stock of broad money: | $121.2 billion (31 December 2015 est.) |
| Stock of domestic credit: | $153.1 billion (31 December 2016 est.) |
| Stock of domestic credit: | $133.8 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $85.96 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $146.7 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $202.7 billion (31 December 2013 est.) |
| Current account balance: | $-12.24 billion (2016 est.) |
| Current account balance: | $-18.64 billion (2015 est.) |
| Exports: | $33.38 billion (2016 est.) |
| Exports: | $38.28 billion (2015 est.) |
| Exports - commodities: | petroleum, coal, emeralds, coffee, nickel, cut flowers, bananas, apparel |
| Exports - partners: | US 33.5%, Panama 6.3% (2016) |
| Imports: | $43.24 billion (2016 est.) |
| Imports: | $52.05 billion (2015 est.) |
| Imports - commodities: | industrial equipment, transportation equipment, consumer goods, chemicals, paper products, fuels, electricity |
| Imports - partners: | US 26.4%, China 19.1%, Mexico 7.5%, Brazil 4.7% (2016) |
| Reserves of foreign exchange and gold: | $46.18 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $46.22 billion (31 December 2015 est.) |
| Debt - external: | $115 billion (31 December 2016 est.) |
| Debt - external: | $111.1 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $164.3 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $149.2 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $51.82 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $47.3 billion (31 December 2015 est.) |
| Exchange rates: | Colombian pesos (COP) per US dollar - |
| Exchange rates: | 3,055.3 (2016 est.) |
| Exchange rates: | 3,055.3 (2015 est.) |
| Exchange rates: | 2,001 (2014 est.) |
| Exchange rates: | 2,001.1 (2013 est.) |
| Exchange rates: | 1,798 (2012 est.) |
