| Economy | BHUTAN |
| Budget surplus (+) or deficit (-): | -9.9% of GDP (2014 est.) |
| Public debt: | 91.5% of GDP (2014 est.) |
| Public debt: | 97% of GDP (2013 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 7.7% (2014 est.) |
| Inflation rate (consumer prices): | 8.8% (2013 est.) |
| Central bank discount rate: | NA% |
| Commercial bank prime lending rate: | 14% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 14% (31 December 2013 est.) |
| Stock of narrow money: | $636 million (31 December 2014 est.) |
| Stock of narrow money: | $550.6 million (31 December 2013 est.) |
| Stock of broad money: | $1.099 billion (31 December 2013 est.) |
| Stock of broad money: | $1.062 billion (31 December 2012 est.) |
| Stock of domestic credit: | $796.1 million (31 December 2014 est.) |
| Stock of domestic credit: | $726.2 million (31 December 2013 est.) |
| Market value of publicly traded shares: | $320 million (31 December 2013) |
| Market value of publicly traded shares: | $283.4 million (31 December 2012) |
| Current account balance: | -$459 million (2014 est.) |
| Current account balance: | -$553.3 million (2013 est.) |
| Exports: | $650.3 million (2014 est.) |
| Exports: | $352 million (2013 est.) |
| Exports - commodities: | electricity (to India), ferrosilicon, cement, calcium carbide, copper wire, manganese, vegetable oil |
| Exports - partners: | India 83.8%, Hong Kong 10.8% (2013 est.) |
| Imports: | $980.6 million (2014 est.) |
| Imports: | $905.3 million (2013 est.) |
| Imports - commodities: | fuel and lubricants, passenger cars, machinery and parts, fabrics, rice |
| Imports - partners: | India 72.3%, South Korea 6% (2013 est.) |
| Debt - external: | $1.707 billion (31 December 2014 est.) |
| Debt - external: | $1.578 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $173.7 million (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $131.7 million (31 December 2013 est.) |
| Exchange rates: | ngultrum (BTN) per US dollar - |
| Exchange rates: | 60.42 (2014 est.) |
| Exchange rates: | 58.6 (2013 est.) |
| Exchange rates: | 53.44 (2012 est.) |
| Exchange rates: | 46.67 (2011 est.) |
| Exchange rates: | 45.73 (2010 est.) |
