| Economy | Croatia |
| Agriculture - products: | arable crops (wheat, corn, barley, sugar beet, sunflower, rapeseed, alfalfa, clover); vegetables (potatoes, cabbage, onion, tomato, pepper); fruits (apples, plum, mandarins, olives), grapes for wine; livestock (cattle, cows, pigs); dairy products |
| Industries: | chemicals and plastics, machine tools, fabricated metal, electronics, pig iron and rolled steel products, aluminum, paper, wood products, construction materials, textiles, shipbuilding, petroleum and petroleum refining, food and beverages, tourism |
| Industrial production growth rate: | 1.2% (2017 est.) |
| Labor force: | 1.559 million (2017 est.) |
| Labor force - by occupation: | agriculture: 1.9% |
| Labor force - by occupation: | industry: 27.3% |
| Labor force - by occupation: | services: 70.8% (2017 est.) |
| Unemployment rate: | 12.4% (2017 est.) |
| Unemployment rate: | 15% (2016 est.) |
| Population below poverty line: | 19.5% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.7% |
| Household income or consumption by percentage share: | highest 10%: 23% (2015 est.) |
| Distribution of family income - Gini index: | 30.8 (2015 est.) |
| Distribution of family income - Gini index: | 32.1 (2014 est.) |
| Budget: | revenues: 25.24 billion (2017 est.) |
| Budget: | expenditures: 24.83 billion (2017 est.) |
| Taxes and other revenues: | 46.1% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 0.8% (of GDP) (2017 est.) |
| Public debt: | 77.8% of GDP (2017 est.) |
| Public debt: | 82.3% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.1% (2017 est.) |
| Inflation rate (consumer prices): | -1.1% (2016 est.) |
| Central bank discount rate: | 3% (31 December 2017) |
| Central bank discount rate: | 3.5% (31 December 2016) |
| Commercial bank prime lending rate: | 4.23% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 4.97% (31 December 2016 est.) |
| Stock of narrow money: | $14.2 billion (31 December 2017 est.) |
| Stock of narrow money: | $11.64 billion (31 December 2016 est.) |
| Stock of broad money: | $14.2 billion (31 December 2017 est.) |
| Stock of broad money: | $11.64 billion (31 December 2016 est.) |
| Stock of domestic credit: | $39.97 billion (31 December 2017 est.) |
| Stock of domestic credit: | $41.38 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $18.33 billion (31 December 2017 est.) |
| Market value of publicly traded shares: | $19.98 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $22.6 billion (31 December 2015 est.) |
| Current account balance: | $2.15 billion (2017 est.) |
| Current account balance: | $1.338 billion (2016 est.) |
| Exports: | $13.15 billion (2017 est.) |
| Exports: | $13.88 billion (2016 est.) |
| Exports - partners: | Italy 13.4%, Germany 12.2%, Slovenia 10.6%, Bosnia and Herzegovina 9.8%, Austria 6.2%, Serbia 4.8% (2017) |
| Exports - commodities: | transport equipment, machinery, textiles, chemicals, foodstuffs, fuels |
| Imports: | $22.34 billion (2017 est.) |
| Imports: | $19.76 billion (2016 est.) |
| Imports - commodities: | machinery, transport and electrical equipment; chemicals, fuels and lubricants; foodstuffs |
| Imports - partners: | Germany 15.7%, Italy 12.9%, Slovenia 10.7%, Hungary 7.5%, Austria 7.5% (2017) |
| Reserves of foreign exchange and gold: | $18.82 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $14.24 billion (31 December 2016 est.) |
| Debt - external: | $48.1 billion (31 December 2017 est.) |
| Debt - external: | $46.96 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $43.71 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $35.65 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $8.473 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $6.358 billion (31 December 2016 est.) |
| Exchange rates: | kuna (HRK) per US dollar - |
| Exchange rates: | 6.62 (2017 est.) |
| Exchange rates: | 6.8 (2016 est.) |
| Exchange rates: | 6.806 (2015 est.) |
| Exchange rates: | 6.8583 (2014 est.) |
| Exchange rates: | 5.7482 (2013 est.) |
