| Economy | Croatia |
| GDP - composition, by end use: | investment in inventories: 0% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 51.1% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -48.8% (2017 est.) |
| Ease of Doing Business Index scores: | 73.6 (2020) |
| Agriculture - products: | arable crops (wheat, corn, barley, sugar beet, sunflower, rapeseed, alfalfa, clover); vegetables (potatoes, cabbage, onion, tomato, pepper); fruits (apples, plum, mandarins, olives), grapes for wine; livestock (cattle, cows, pigs); dairy products |
| Industries: | chemicals and plastics, machine tools, fabricated metal, electronics, pig iron and rolled steel products, aluminum, paper, wood products, construction materials, textiles, shipbuilding, petroleum and petroleum refining, food and beverages, tourism |
| Industrial production growth rate: | 1.2% (2017 est.) |
| Labor force: | 1.656 million (2020 est.) |
| Labor force - by occupation: | agriculture: 1.9% |
| Labor force - by occupation: | industry: 27.3% |
| Labor force - by occupation: | services: 70.8% (2017 est.) |
| Unemployment rate: | 8.07% (2019 est.) |
| Unemployment rate: | 9.86% (2018 est.) |
| Population below poverty line: | 19.5% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.7% |
| Household income or consumption by percentage share: | highest 10%: 23% (2015 est.) |
| Budget: | revenues: 25.24 billion (2017 est.) |
| Budget: | expenditures: 24.83 billion (2017 est.) |
| Taxes and other revenues: | 46.1% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 0.8% (of GDP) (2017 est.) |
| Public debt: | 77.8% of GDP (2017 est.) |
| Public debt: | 82.3% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Current account balance: | $1.597 billion (2019 est.) |
| Current account balance: | $1 billion (2018 est.) |
| Exports: | $36.28 billion (2019 est.) |
| Exports: | $33.97 billion (2018 est.) |
| Exports: | $32.75 billion (2017 est.) |
| Exports - partners: | Italy 13.4%, Germany 12.2%, Slovenia 10.6%, Bosnia and Herzegovina 9.8%, Austria 6.2%, Serbia 4.8% (2017) |
| Exports - commodities: | transport equipment, machinery, textiles, chemicals, foodstuffs, fuels |
| Imports: | $37.612 billion (2019 est.) |
| Imports: | $35.367 billion (2018 est.) |
| Imports: | $32.899 billion (2017 est.) |
| Imports - commodities: | machinery, transport and electrical equipment; chemicals, fuels and lubricants; foodstuffs |
| Imports - partners: | Germany 15.7%, Italy 12.9%, Slovenia 10.7%, Hungary 7.5%, Austria 7.5% (2017) |
| Reserves of foreign exchange and gold: | $18.82 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $14.24 billion (31 December 2016 est.) |
| Debt - external: | $48.1 billion (31 December 2017 est.) |
| Debt - external: | $46.96 billion (31 December 2016 est.) |
| Exchange rates: | kuna (HRK) per US dollar - |
| Exchange rates: | 6.2474 (2020 est.) |
| Exchange rates: | 6.72075 (2019 est.) |
| Exchange rates: | 6.48905 (2018 est.) |
| Exchange rates: | 6.8583 (2014 est.) |
| Exchange rates: | 5.7482 (2013 est.) |
