| Economy | Croatia |
| Unemployment rate: | 19.1% (2012 est.) |
| Unemployment rate: | 17.8% (2011 est.) |
| Population below poverty line: | 21.1% (2011) |
| Household income or consumption by percentage share: | lowest 10%: 3.3% |
| Household income or consumption by percentage share: | highest 10%: 27.5% (2008 est.) |
| Distribution of family income - Gini index: | 32 (2010) |
| Distribution of family income - Gini index: | 29 (1998) |
| Budget: | revenues: $21.56 billion |
| Budget: | expenditures: $23.42 billion (2012 est.) |
| Taxes and other revenues: | 38.7% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -3.3% of GDP (2012 est.) |
| Public debt: | 53.7% of GDP (2012 est.) |
| Public debt: | 47.2% of GDP (2011 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.4% (2012 est.) |
| Inflation rate (consumer prices): | 2.3% (2011 est.) |
| Central bank discount rate: | 7% (31 December 2012 est.) |
| Central bank discount rate: | 7% (31 December 2011 est.) |
| Commercial bank prime lending rate: | 9.48% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 9.68% (31 December 2011 est.) |
| Stock of narrow money: | $9.216 billion (31 December 2012 est.) |
| Stock of narrow money: | $8.924 billion (31 December 2011 est.) |
| Stock of broad money: | $43.47 billion (31 December 2012 est.) |
| Stock of broad money: | $41.42 billion (31 December 2011 est.) |
| Stock of domestic credit: | $55.5 billion (31 December 2012 est.) |
| Stock of domestic credit: | $54.92 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $21.3 billion (31 December 2012) |
| Market value of publicly traded shares: | $22.44 billion (31 December 2011) |
| Market value of publicly traded shares: | $25.28 billion (31 December 2010) |
| Current account balance: | $-51.55 million (2012 est.) |
| Current account balance: | $-548 million (2011 est.) |
| Exports: | $12.6 billion (2012 est.) |
| Exports: | $13.6 billion (2011 est.) |
| Exports - commodities: | transport equipment, machinery, textiles, chemicals, foodstuffs, fuels |
| Exports - partners: | Italy 14.9%, Bosnia and Herzegovina 13.2%, Germany 10.6%, Slovenia 8.8%, Austria 6.8% (2012) |
| Imports: | $20.37 billion (2012 est.) |
| Imports: | $22.15 billion (2011 est.) |
| Imports - commodities: | machinery, transport and electrical equipment; chemicals, fuels and lubricants; foodstuffs |
| Imports - partners: | Italy 16.7%, Germany 12.9%, Russia 7.6%, China 7.1%, Slovenia 5.9%, Austria 4.5% (2012) |
| Reserves of foreign exchange and gold: | $14.81 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $14.48 billion (31 December 2011 est.) |
| Debt - external: | $65.37 billion (31 December 2012 est.) |
| Debt - external: | $64.83 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $36.08 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $34.73 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $5.581 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $5.728 billion (31 December 2011 est.) |
| Exchange rates: | kuna (HRK) per US dollar - |
| Exchange rates: | 5.85 (2012 est.) |
| Exchange rates: | 5.34 (2011 est.) |
| Exchange rates: | 5.5 (2010 est.) |
| Exchange rates: | 5.27 (2009) |
| Exchange rates: | 4.98 (2008) |
