| Economy | Uzbekistan |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 12.5% (2017 est.) |
| Inflation rate (consumer prices): | 8% (2016 est.) |
| Inflation rate (consumer prices): | note: official data; based on independent analysis of consumer prices, inflation reached 22% in 2012 |
| Central bank discount rate: | 9% (2016) |
| Central bank discount rate: | 9% (2015) |
| Commercial bank prime lending rate: | 16% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 11.2% (31 December 2012 est.) |
| Stock of narrow money: | $4.173 billion (31 December 2017 est.) |
| Stock of narrow money: | $7.729 billion (31 December 2016 est.) |
| Stock of broad money: | $4.173 billion (31 December 2017 est.) |
| Stock of broad money: | $7.729 billion (31 December 2016 est.) |
| Stock of domestic credit: | $5.558 billion (31 December 2017 est.) |
| Stock of domestic credit: | $11.63 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $NA (31 December 2012) |
| Market value of publicly traded shares: | $715.3 million (31 December 2006) |
| Current account balance: | $1.713 billion (2017 est.) |
| Current account balance: | $384 million (2016 est.) |
| Exports: | $11.48 billion (2017 est.) |
| Exports: | $11.2 billion (2016 est.) |
| Exports - partners: | Switzerland 38.7%, China 15.5%, Russia 10.7%, Turkey 8.6%, Kazakhstan 7.7%, Afghanistan 4.7% (2017) |
| Exports - commodities: | energy products, cotton, gold, mineral fertilizers, ferrous and nonferrous metals, textiles, foodstuffs, machinery, automobiles |
| Imports: | $11.42 billion (2017 est.) |
| Imports: | $10.92 billion (2016 est.) |
| Imports - commodities: | machinery and equipment, foodstuffs, chemicals, ferrous and nonferrous metals |
| Imports - partners: | China 23.7%, Russia 22.5%, Kazakhstan 10.7%, South Korea 9.8%, Turkey 5.8%, Germany 5.6% (2017) |
| Reserves of foreign exchange and gold: | $16 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $14 billion (31 December 2016 est.) |
| Debt - external: | $16.9 billion (31 December 2017 est.) |
| Debt - external: | $16.76 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | NA |
| Stock of direct foreign investment - abroad: | NA |
| Exchange rates: | Uzbekistani soum (UZS) per US dollar - |
| Exchange rates: | 3,906.1 (2017 est.) |
| Exchange rates: | 2,966.6 (2016 est.) |
| Exchange rates: | 2,966.6 (2015 est.) |
| Exchange rates: | 2,569.6 (2014 est.) |
| Exchange rates: | 2,311.4 (2013 est.) |
