| Economy | Czech Republic |
| Exports - commodities: | machinery and transport equipment, raw materials and fuel, chemicals |
| Exports - partners: | Germany 31.8%, Slovakia 9.1%, Poland 6.1%, France 5.1%, UK 4.9%, Austria 4.7% (2012) |
| Imports: | $143.4 billion (2013 est.) |
| Imports: | $141.4 billion (2012 est.) |
| Imports - commodities: | machinery and transport equipment, raw materials and fuels, chemicals |
| Imports - partners: | Germany 29.5%, Poland 7.7%, Slovakia 7.4%, China 6.3%, Netherlands 5.8%, Russia 5.3%, Austria 4.3% (2012) |
| Reserves of foreign exchange and gold: | $56.22 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $44.88 billion (31 December 2012 est.) |
| Debt - external: | $102.1 billion (30 September 2013 est.) |
| Debt - external: | $101.9 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $144.2 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $136.5 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $16.63 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $17.37 billion (31 December 2012 est.) |
| Exchange rates: | koruny (CZK) per US dollar - |
| Exchange rates: | 19.57 (2013 est.) |
| Exchange rates: | 19.59 (2012 est.) |
| Exchange rates: | 19.098 (2010 est.) |
| Exchange rates: | 19.063 (2009) |
| Exchange rates: | 17.064 (2008) |
