| Economy | CZECHIA |
| GDP - real growth rate: | 2.6% (2016 est.) |
| GDP - real growth rate: | 5.3% (2015 est.) |
| GDP - real growth rate: | 2.7% (2014 est.) |
| GDP - per capita (PPP): | $33,500 (2016 est.) |
| GDP - per capita (PPP): | $32,700 (2015 est.) |
| GDP - per capita (PPP): | $31,200 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 27.4% of GDP (2016 est.) |
| Gross national saving: | 28.2% of GDP (2015 est.) |
| Gross national saving: | 26.1% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 47% |
| GDP - composition, by end use: | government consumption: 19.2% |
| GDP - composition, by end use: | investment in fixed capital: 25% |
| GDP - composition, by end use: | investment in inventories: 1.3% |
| GDP - composition, by end use: | exports of goods and services: 79.5% |
| GDP - composition, by end use: | imports of goods and services: -72% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.5% |
| GDP - composition, by sector of origin: | industry: 37.5% |
| GDP - composition, by sector of origin: | services: 60% (2016 est.) |
| Agriculture - products: | wheat, potatoes, sugar beets, hops, fruit; pigs, poultry |
| Industries: | motor vehicles, metallurgy, machinery and equipment, glass, armaments |
| Industrial production growth rate: | 3.5% (2016 est.) |
| Labor force: | 5.35 million (2016 est.) |
| Labor force - by occupation: | agriculture: 2.8% |
| Labor force - by occupation: | industry: 38% |
| Labor force - by occupation: | services: 59.2% (2015) |
| Unemployment rate: | 4% (2016 est.) |
| Unemployment rate: | 5.1% (2015 est.) |
| Population below poverty line: | 9.7% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 4.1% |
| Household income or consumption by percentage share: | highest 10%: 21.7% (2015 est.) |
| Distribution of family income - Gini index: | 25 (2015) |
| Distribution of family income - Gini index: | 25.1 (2014) |
| Budget: | revenues: $78.09 billion |
| Budget: | expenditures: $76.96 billion (2016 est.) |
| Taxes and other revenues: | 40.5% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | 0.6% of GDP (2016 est.) |
| Public debt: | 36.8% of GDP (2016 est.) |
| Public debt: | 39.9% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.7% (2016 est.) |
| Inflation rate (consumer prices): | 0.3% (2015 est.) |
| Central bank discount rate: | 0.05% (31 December 2016) |
| Central bank discount rate: | 0.05% (31 December 2015) |
| Central bank discount rate: | note: this is the two-week repo, the main rate CNB uses |
| Commercial bank prime lending rate: | 3.91% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 4.28% (31 December 2015 est.) |
| Stock of narrow money: | $133.5 billion (31 December 2016 est.) |
| Stock of narrow money: | $124.9 billion (31 December 2015 est.) |
| Stock of broad money: | $148.7 billion (31 December 2016 est.) |
| Stock of broad money: | $144.1 billion (31 December 2015 est.) |
| Stock of domestic credit: | $124.3 billion (31 December 2016 est.) |
| Stock of domestic credit: | $127.5 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $44.5 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $39.91 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $45.63 billion (31 December 2014 est.) |
| Current account balance: | $2.154 billion (2016 est.) |
| Current account balance: | $461 million (2015 est.) |
| Exports: | $131.1 billion (2016 est.) |
| Exports: | $128.2 billion (2015 est.) |
| Exports - commodities: | machinery and transport equipment, raw materials, fuel, chemicals |
| Exports - partners: | Germany 32.4%, Slovakia 8.4%, Poland 5.8%, UK 5.2%, France 5.2%, Italy 4.3%, Austria 4.2% (2016) |
| Imports: | $120.8 billion (2016 est.) |
| Imports: | $120.5 billion (2015 est.) |
| Imports - commodities: | machinery and transport equipment, raw materials and fuels, chemicals |
| Imports - partners: | Germany 30.6%, Poland 9.6%, China 7.5%, Slovakia 6.3%, Netherlands 5.3%, Italy 4.1% (2016) |
| Reserves of foreign exchange and gold: | $85.73 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $64.49 billion (31 December 2015 est.) |
| Debt - external: | $138 billion (31 December 2016 est.) |
| Debt - external: | $129.2 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $139.6 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $140.3 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $43.09 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $42.26 billion (31 December 2015 est.) |
| Exchange rates: | koruny (CZK) per US dollar - |
| Exchange rates: | 24.44 (2016 est.) |
| Exchange rates: | 24.44 (2015 est.) |
| Exchange rates: | 24.599 (2014 est.) |
| Exchange rates: | 20.758 (2013 est.) |
| Exchange rates: | 19.59 (2012 est.) |
