| Economy | MOZAMBIQUE |
| Household income or consumption by percentage share: | lowest 10%: 1.9% |
| Household income or consumption by percentage share: | highest 10%: 36.7% (2008) |
| Distribution of family income - Gini index: | 45.6 (2008) |
| Distribution of family income - Gini index: | 47.3 (2002) |
| Budget: | revenues: $5.324 billion |
| Budget: | expenditures: $6.967 billion (2014 est.) |
| Taxes and other revenues: | 32.1% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -9.9% of GDP (2014 est.) |
| Public debt: | 47.2% of GDP (2014 est.) |
| Public debt: | 41.1% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.3% (2014 est.) |
| Inflation rate (consumer prices): | 4.2% (2013 est.) |
| Central bank discount rate: | 9.5% (17 January 2013) |
| Central bank discount rate: | 3.25% (31 December 2010) |
| Commercial bank prime lending rate: | 15.3% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 15.33% (31 December 2013 est.) |
| Stock of narrow money: | $5.267 billion (31 December 2014 est.) |
| Stock of narrow money: | $4.851 billion (31 December 2013 est.) |
| Stock of broad money: | $7.777 billion (31 December 2014 est.) |
| Stock of broad money: | $7.19 billion (31 December 2013 est.) |
| Stock of domestic credit: | $4.982 billion (31 December 2014 est.) |
| Stock of domestic credit: | $4.573 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$5.797 billion (2014 est.) |
| Current account balance: | -$5.892 billion (2013 est.) |
| Exports: | $4.345 billion (2014 est.) |
| Exports: | $4.123 billion (2013 est.) |
| Exports - commodities: | aluminum, prawns, cashews, cotton, sugar, citrus, timber; bulk electricity |
| Exports - partners: | China 28.8%, South Africa 20%, Italy 7.7%, Belgium 5.9%, India 5.7%, Spain 5.2% (2014) |
| Imports: | $8.954 billion (2014 est.) |
| Imports: | $8.48 billion (2013 est.) |
| Imports - commodities: | machinery and equipment, vehicles, fuel, chemicals, metal products, foodstuffs, textiles |
| Imports - partners: | South Africa 26.5%, China 17.4%, India 16.6% (2014) |
| Reserves of foreign exchange and gold: | $3.334 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $3.142 billion (31 December 2013 est.) |
| Debt - external: | $7.521 billion (31 December 2014 est.) |
| Debt - external: | $6.416 billion (31 December 2013 est.) |
| Exchange rates: | meticais (MZM) per US dollar - |
| Exchange rates: | 31.2 (2014 est.) |
| Exchange rates: | 30.125 (2013 est.) |
| Exchange rates: | 28.38 (2012 est.) |
| Exchange rates: | 29.075 (2011 est.) |
| Exchange rates: | 33.96 (2010 est.) |
