| Economy | UNITED KINGDOM |
| Market value of publicly traded shares: | $3.019 trillion (31 December 2012 est.) |
| Market value of publicly traded shares: | $2.903 trillion (31 December 2011 est.) |
| Market value of publicly traded shares: | $3.107 trillion (31 December 2010 est.) |
| Current account balance: | -$123.5 billion (2015 est.) |
| Current account balance: | -$152.2 billion (2014 est.) |
| Exports: | $436.2 billion (2015 est.) |
| Exports: | $483.4 billion (2014 est.) |
| Exports - commodities: | manufactured goods, fuels, chemicals; food, beverages, tobacco |
| Exports - partners: | US 14.6%, Germany 10.1%, Switzerland 7%, China 6%, France 5.9%, Netherlands 5.8%, Ireland 5.5% (2015) |
| Imports: | $627.7 billion (2015 est.) |
| Imports: | $685.8 billion (2014 est.) |
| Imports - commodities: | manufactured goods, machinery, fuels; foodstuffs |
| Imports - partners: | Germany 14.8%, China 9.8%, US 9.2%, Netherlands 7.5%, France 5.8%, Belgium 5% (2015) |
| Reserves of foreign exchange and gold: | $129.6 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $107.7 billion (31 December 2014 est.) |
| Debt - external: | $9.219 trillion (31 December 2014 est.) |
| Debt - external: | $9.411 trillion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $2.04 trillion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $1.915 trillion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $1.959 trillion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $2.146 trillion (31 December 2014 est.) |
| Exchange rates: | British pounds (GBP) per US dollar - |
| Exchange rates: | 0.6542 (2015 est.) |
| Exchange rates: | 0.607 (2014 est.) |
| Exchange rates: | 0.6391 (2013 est.) |
| Exchange rates: | 0.6324 (2012 est.) |
| Exchange rates: | 0.624 (2011 est.) |
