| Economy | Mongolia |
| Industries: | construction and construction materials; mining (coal, copper, molybdenum, fluorspar, tin, tungsten, gold); oil; food and beverages; processing of animal products, cashmere and natural fiber manufacturing |
| Industrial production growth rate: | -1% (2017 est.) |
| Labor force: | 1.241 million (2017 est.) |
| Labor force - by occupation: | agriculture: 31.1% |
| Labor force - by occupation: | industry: 18.5% |
| Labor force - by occupation: | services: 50.5% (2016) |
| Unemployment rate: | 8% (2017 est.) |
| Unemployment rate: | 7.9% (2016 est.) |
| Population below poverty line: | 29.6% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 13.7% |
| Household income or consumption by percentage share: | highest 10%: 5.7% (2017) |
| Budget: | revenues: 2.967 billion (2017 est.) |
| Budget: | expenditures: 3.681 billion (2017 est.) |
| Taxes and other revenues: | 26.6% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -6.4% (of GDP) (2017 est.) |
| Public debt: | 91.4% of GDP (2017 est.) |
| Public debt: | 90% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Current account balance: | -$1.155 billion (2017 est.) |
| Current account balance: | -$700 million (2016 est.) |
| Exports: | $7.012 billion (2018) |
| Exports: | $5.834 billion (2017 est.) |
| Exports: | $4.916 billion (2016 est.) |
| Exports - partners: | China 93.3%, UK 2.5% (2017) |
| Exports - commodities: | copper, apparel, livestock, animal products, cashmere, wool, hides, fluorspar, other nonferrous metals, coal, crude oil |
| Imports: | $5.875 billion (2018) |
| Imports: | $4.345 billion (2017 est.) |
| Imports: | $3.466 billion (2016 est.) |
| Imports - commodities: | machinery and equipment, fuel, cars, food products, industrial consumer goods, chemicals, building materials, cigarettes and tobacco, appliances, soap and detergent |
| Imports - partners: | China 32.6%, Russia 28.1%, Japan 8.4%, US 4.8%, South Korea 4.6% (2017) |
| Reserves of foreign exchange and gold: | $3.016 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $1.296 billion (31 December 2016 est.) |
| Debt - external: | $25.33 billion (31 December 2017 est.) |
| Debt - external: | $24.63 billion (31 December 2016 est.) |
| Exchange rates: | togrog/tugriks (MNT) per US dollar - |
| Exchange rates: | 2,378.1 (2017 est.) |
| Exchange rates: | 2,140.3 (2016 est.) |
| Exchange rates: | 2,140.3 (2015 est.) |
| Exchange rates: | 1,970.3 (2014 est.) |
| Exchange rates: | 1,817.9 (2013 est.) |
