| Economy | Bulgaria |
| Exports: | $40.779 billion (2018 est.) |
| Exports: | $40.091 billion (2017 est.) |
| Exports - partners: | Germany 13.5%, Italy 8.3%, Romania 8.2%, Turkey 7.7%, Greece 6.5%, Belgium 4.2%, France 4.1% (2017) |
| Exports - commodities: | clothing, footwear, iron and steel, machinery and equipment, fuels, agriculture, tobacco, IT components |
| Imports: | $44.853 billion (2019 est.) |
| Imports: | $42.841 billion (2018 est.) |
| Imports: | $40.53 billion (2017 est.) |
| Imports - commodities: | machinery and equipment; metals and ores; chemicals and plastics; fuels, minerals, and raw materials |
| Imports - partners: | Germany 12.3%, Russia 10.3%, Italy 7.3%, Romania 7.1%, Turkey 6.2%, Spain 5.3%, Greece 4.4% (2017) |
| Reserves of foreign exchange and gold: | $28.38 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $25.13 billion (31 December 2016 est.) |
| Debt - external: | $42.06 billion (31 December 2017 est.) |
| Debt - external: | $35.98 billion (31 December 2016 est.) |
| Exchange rates: | leva (BGN) per US dollar - |
| Exchange rates: | 1.61885 (2020 est.) |
| Exchange rates: | 1.7669 (2019 est.) |
| Exchange rates: | 1.7172 (2018 est.) |
| Exchange rates: | 1.7644 (2014 est.) |
| Exchange rates: | 1.4742 (2013 est.) |
