| Economy | GUATEMALA |
| Stock of narrow money: | $10.05 billion (31 December 2015 est.) |
| Stock of narrow money: | $9.19 billion (31 December 2014 est.) |
| Stock of broad money: | $23.19 billion (31 December 2015 est.) |
| Stock of broad money: | $21.17 billion (31 December 2014 est.) |
| Stock of domestic credit: | $28.7 billion (31 December 2015 est.) |
| Stock of domestic credit: | $26.3 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$315 million (2015 est.) |
| Current account balance: | -$1.23 billion (2014 est.) |
| Exports: | $10.83 billion (2015 est.) |
| Exports: | $10.99 billion (2014 est.) |
| Exports - commodities: | sugar, coffee, petroleum, apparel, bananas, fruits and vegetables, cardamom, manufacturing products, precious stones and metals, electricity |
| Exports - partners: | US 34.9%, El Salvador 8.4%, Honduras 7.3%, Nicaragua 5%, Canada 4.6%, Mexico 4.3%, Costa Rica 4.1% (2015) |
| Imports: | $16.38 billion (2015 est.) |
| Imports: | $17.06 billion (2014 est.) |
| Imports - commodities: | fuels, machinery and transport equipment, construction materials, grain, fertilizers, electricity, mineral products, chemical products, plastic materials and products |
| Imports - partners: | US 38.3%, China 13.4%, Mexico 11.8%, El Salvador 4.9% (2015) |
| Reserves of foreign exchange and gold: | $7.746 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $7.329 billion (31 December 2014 est.) |
| Debt - external: | $18.6 billion (31 December 2015 est.) |
| Debt - external: | $18.76 billion (31 December 2014 est.) |
| Exchange rates: | quetzales (GTQ) per US dollar - |
| Exchange rates: | 7.6548 (2015 est.) |
| Exchange rates: | 7.7322 (2014 est.) |
| Exchange rates: | 7.7322 (2013 est.) |
| Exchange rates: | 7.83 (2012 est.) |
| Exchange rates: | 7.7854 (2011 est.) |
