| Economy | GUATEMALA |
| Stock of broad money: | $22.3 billion (31 December 2012 est.) |
| Stock of domestic credit: | $25.68 billion (31 December 2014 est.) |
| Stock of domestic credit: | $23.02 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$1.394 billion (2014 est.) |
| Current account balance: | -$1.515 billion (2013 est.) |
| Exports: | $10.6 billion (2014 est.) |
| Exports: | $10.19 billion (2013 est.) |
| Exports - commodities: | sugar, coffee, petroleum, apparel, bananas, fruits and vegetables, cardamom, manufacturing products, precious stones and metals, electricity |
| Exports - partners: | US 36.1%, El Salvador 11.8%, Honduras 8.3%, Nicaragua 4.8%, Mexico 4.1% (2014) |
| Imports: | $17.15 billion (2014 est.) |
| Imports: | $16.36 billion (2013 est.) |
| Imports - commodities: | fuels, machinery and transport equipment, construction materials, grain, fertilizers, electricity, mineral products, chemical products, plastic materials and products |
| Imports - partners: | US 40.3%, Mexico 10.7%, China 9.8%, El Salvador 4.6% (2014) |
| Reserves of foreign exchange and gold: | $7.546 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $7.269 billion (31 December 2013 est.) |
| Debt - external: | $15.94 billion (31 December 2014 est.) |
| Debt - external: | $15.58 billion (31 December 2013 est.) |
| Exchange rates: | quetzales (GTQ) per US dollar - |
| Exchange rates: | 7.833 (2014 est.) |
| Exchange rates: | 7.8568 (2013 est.) |
| Exchange rates: | 7.83 (2012 est.) |
| Exchange rates: | 7.7854 (2011 est.) |
| Exchange rates: | 8.0578 (2010 est.) |
