| Economy | Ukraine |
| Unemployment rate: | note: officially registered; large number of unregistered or underemployed workers |
| Population below poverty line: | 24.1% (2010) |
| Household income or consumption by percentage share: | lowest 10%: 3.8% |
| Household income or consumption by percentage share: | highest 10%: 22.5% (2011 est.) |
| Distribution of family income - Gini index: | 28.2 (2009) |
| Distribution of family income - Gini index: | 29 (1999) |
| Budget: | revenues: $55.74 billion |
| Budget: | expenditures: $63.37 billion |
| Budget: | note: this is the planned, consolidated budget (2012 est.) |
| Taxes and other revenues: | 32.1% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -4.4% of GDP (2012 est.) |
| Public debt: | 36.6% of GDP (2012 est.) |
| Public debt: | 36.3% of GDP (2011 est.) |
| Public debt: | note: the total public debt of $64.5 billion consists of: domestic public debt ($23.8 billion); external public debt ($26.1 billion); and sovereign guarantees ($14.6 billion) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.6% (2012 est.) |
| Inflation rate (consumer prices): | 8% (2011 est.) |
| Central bank discount rate: | 7.5% (31 January 2012 est.) |
| Central bank discount rate: | 11.97% (31 December 2010 est.) |
| Commercial bank prime lending rate: | 18.39% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 15.95% (31 December 2011 est.) |
| Stock of narrow money: | $40.44 billion (31 December 2012 est.) |
| Stock of narrow money: | $38.93 billion (31 December 2011 est.) |
| Stock of broad money: | $97.4 billion (31 December 2012 est.) |
| Stock of broad money: | $85.33 billion (31 December 2011 est.) |
| Stock of domestic credit: | $129.6 billion (31 December 2012 est.) |
| Stock of domestic credit: | $121 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $25.56 billion (31 December 2011) |
| Market value of publicly traded shares: | $39.46 billion (31 December 2010) |
| Market value of publicly traded shares: | $16.79 billion (31 December 2009) |
| Current account balance: | $-14.32 billion (2012 est.) |
| Current account balance: | $-10.25 billion (2011 est.) |
| Exports: | $70.24 billion (2012 est.) |
| Exports: | $69.42 billion (2011 est.) |
| Exports - commodities: | ferrous and nonferrous metals, fuel and petroleum products, chemicals, machinery and transport equipment, food products |
| Exports - partners: | Russia 25.6%, Turkey 5.4%, Egypt 4.2% (2012) |
| Imports: | $89.71 billion (2012 est.) |
| Imports: | $85.67 billion (2011 est.) |
| Imports - commodities: | energy, machinery and equipment, chemicals |
| Imports - partners: | Russia 32.4%, China 9.3%, Germany 8%, Belarus 6%, Poland 4.2% (2012) |
| Reserves of foreign exchange and gold: | $24.55 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $31.79 billion (31 December 2011 est.) |
| Debt - external: | $136.5 billion (31 December 2012 est.) |
| Debt - external: | $134.5 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $54.46 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $50.33 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $8.104 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $6.898 billion (31 December 2011 est.) |
| Exchange rates: | hryvnia (UAH) per US dollar - |
| Exchange rates: | 7.99 (2012 est.) |
| Exchange rates: | 7.97 (2011 est.) |
| Exchange rates: | 7.94 (2010 est.) |
| Exchange rates: | 7.79 (2009) |
| Exchange rates: | 4.95 (2008) |
