| Economy | UKRAINE |
| Budget: | revenues: $39.14 billion |
| Budget: | expenditures: $45.85 billion |
| Budget: | note: this is the planned, consolidated budget (2014 est.) |
| Taxes and other revenues: | 29% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -5% of GDP (2014 est.) |
| Public debt: | 66.2% of GDP (2014 est.) |
| Public debt: | 40.3% of GDP (2013 est.) |
| Public debt: | note: the total public debt of $64.5 billion consists of: domestic public debt ($23.8 billion); external public debt ($26.1 billion); and sovereign guarantees ($14.6 billion) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 12.1% (2014 est.) |
| Inflation rate (consumer prices): | -0.3% (2013 est.) |
| Central bank discount rate: | 7.5% (31 January 2012) |
| Central bank discount rate: | 11.97% (31 December 2010) |
| Commercial bank prime lending rate: | 18% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 16.65% (31 December 2013 est.) |
| Stock of narrow money: | $33.97 billion (31 December 2014 est.) |
| Stock of narrow money: | $48.02 billion (31 December 2013 est.) |
| Stock of broad money: | $78.02 billion (31 December 2014 est.) |
| Stock of broad money: | $113.4 billion (31 December 2013 est.) |
| Stock of domestic credit: | $111.7 billion (31 December 2014 est.) |
| Stock of domestic credit: | $150.9 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $20.71 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $25.56 billion (31 December 2011) |
| Market value of publicly traded shares: | $39.46 billion (31 December 2010 est.) |
| Current account balance: | -$5.228 billion (2014 est.) |
| Current account balance: | -$16.4 billion (2013 est.) |
| Exports: | $52.46 billion (2014 est.) |
| Exports: | $59.1 billion (2013 est.) |
| Exports - commodities: | ferrous and nonferrous metals, fuel and petroleum products, chemicals, machinery and transport equipment, foodstuffs |
| Exports - partners: | Russia 18.2%, Turkey 6.6%, Egypt 5.3%, China 5%, Poland 4.9%, Italy 4.6% (2014) |
| Imports: | $60.4 billion (2014 est.) |
| Imports: | $80.85 billion (2013 est.) |
| Imports - commodities: | energy, machinery and equipment, chemicals |
| Imports - partners: | Russia 23.3%, China 10%, Germany 9.9%, Belarus 7.3%, Poland 5.6% (2014) |
| Reserves of foreign exchange and gold: | $18.37 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $20.42 billion (31 December 2013 est.) |
| Debt - external: | $153.6 billion (31 December 2014 est.) |
| Debt - external: | $136 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $61.97 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $58.97 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $8.908 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $8.308 billion (31 December 2013 est.) |
| Exchange rates: | hryvnia (UAH) per US dollar - |
| Exchange rates: | 11.58 (2014 est.) |
| Exchange rates: | 7.993 (2013 est.) |
| Exchange rates: | 7.99 (2012 est.) |
| Exchange rates: | 7.9676 (2011 est.) |
| Exchange rates: | 7.9356 (2010 est.) |
