| Economy | SYRIA |
| Labor force - by occupation: | services: 67% (2008 est.) |
| Unemployment rate: | 50% (2016 est.) |
| Unemployment rate: | 50% (2015 est.) |
| Population below poverty line: | 82.5% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $496.6 million |
| Budget: | expenditures: $2.889 billion |
| Budget: | note: government projections for FY2016 (2016 est.) |
| Taxes and other revenues: | 2% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -9.7% of GDP (2016 est.) |
| Public debt: | 55.7% of GDP (2016 est.) |
| Public debt: | 48.9% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 43.9% (2016 est.) |
| Inflation rate (consumer prices): | 38.1% (2015 est.) |
| Central bank discount rate: | 0.75% (31 December 2016) |
| Central bank discount rate: | 5% (31 December 2015) |
| Commercial bank prime lending rate: | 32% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 27% (31 December 2015 est.) |
| Stock of narrow money: | $4.488 billion (31 December 2016 est.) |
| Stock of narrow money: | $5.254 billion (31 December 2015 est.) |
| Stock of broad money: | $5.522 billion (31 December 2016 est.) |
| Stock of broad money: | $6.98 billion (31 December 2015 est.) |
| Stock of domestic credit: | $5.993 billion (31 December 2016 est.) |
| Stock of domestic credit: | $7.225 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $-2.077 billion (2016 est.) |
| Current account balance: | $-2.955 billion (2015 est.) |
| Exports: | $1.705 billion (2016 est.) |
| Exports: | $1.587 billion (2015 est.) |
| Exports - commodities: | crude oil, minerals, petroleum products, fruits and vegetables, cotton fiber, textiles, clothing, meat and live animals, wheat |
| Exports - partners: | Lebanon 34.6%, Jordan 11.6%, China 9.4%, Turkey 8.2%, Iraq 7.7%, Tunisia 4.9% (2016) |
| Imports: | $5.496 billion (2016 est.) |
| Imports: | $6.076 billion (2015 est.) |
| Imports - commodities: | machinery and transport equipment, electric power machinery, food and livestock, metal and metal products, chemicals and chemical products, plastics, yarn, paper |
| Imports - partners: | Russia 22%, Turkey 20%, China 11.3% (2016) |
| Reserves of foreign exchange and gold: | $504.6 million (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $772.9 million (31 December 2015 est.) |
| Debt - external: | $5.085 billion (31 December 2016 est.) |
| Debt - external: | $4.42 billion (31 December 2015 est.) |
| Exchange rates: | Syrian pounds (SYP) per US dollar - |
| Exchange rates: | 459.2 (2016 est.) |
| Exchange rates: | 459.2 (2015 est.) |
| Exchange rates: | 236.41 (2014 est.) |
| Exchange rates: | 153.695 (2013 est.) |
| Exchange rates: | 64.39 (2012 est.) |
