| Economy | SYRIA |
| Inflation rate (consumer prices): | 34.8% (2014 est.) |
| Inflation rate (consumer prices): | 89.6% (2013 est.) |
| Central bank discount rate: | 0.75% (31 December 2014) |
| Central bank discount rate: | 5% (31 December 2013) |
| Commercial bank prime lending rate: | 17% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 16% (31 December 2013 est.) |
| Stock of narrow money: | $7.001 billion (31 December 2014 est.) |
| Stock of narrow money: | $8.056 billion (31 December 2013 est.) |
| Stock of broad money: | $11.05 billion (31 December 2014 est.) |
| Stock of broad money: | $12.71 billion (31 December 2013 est.) |
| Stock of domestic credit: | $6.966 billion (31 December 2014 est.) |
| Stock of domestic credit: | $7.738 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$4.575 billion (2014 est.) |
| Current account balance: | -$5.205 billion (2013 est.) |
| Exports: | $2.031 billion (2014 est.) |
| Exports: | $1.939 billion (2013 est.) |
| Exports - commodities: | crude oil, minerals, petroleum products, fruits and vegetables, cotton fiber, textiles, clothing, meat and live animals, wheat |
| Exports - partners: | Iraq 59.9%, Saudi Arabia 10%, Kuwait 6.5%, UAE 5.6%, Libya 4.3% (2013) |
| Imports: | $7.657 billion (2014 est.) |
| Imports: | $7.552 billion (2013 est.) |
| Imports - commodities: | machinery and transport equipment, electric power machinery, food and livestock, metal and metal products, chemicals and chemical products, plastics, yarn, paper |
| Imports - partners: | Saudi Arabia 24.6%, UAE 12.1%, Iran 8.9%, Iraq 7.3%, Turkey 6%, China 4.6%, Ukraine 4.1% (2013) |
| Reserves of foreign exchange and gold: | $1.725 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $1.895 billion (31 December 2013 est.) |
| Debt - external: | $11.64 billion (31 December 2014 est.) |
| Debt - external: | $9.904 billion (31 December 2013 est.) |
| Exchange rates: | Syrian pounds (SYP) per US dollar - |
| Exchange rates: | 152.9 (2014 est.) |
| Exchange rates: | 108.426 (2013 est.) |
| Exchange rates: | 64.39 (2012 est.) |
| Exchange rates: | 48.371 (2011 est.) |
| Exchange rates: | 11.225 (2010 est.) |
