| Economy | European Union |
| GDP - per capita (PPP): | $34,400 (2011 est.) |
| GDP - per capita (PPP): | $33,900 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| GDP - composition, by end use: | household consumption: 58.2% |
| GDP - composition, by end use: | government consumption: 21.8% |
| GDP - composition, by end use: | investment in fixed capital: 18.3% |
| GDP - composition, by end use: | investment in inventories: 0.5% |
| GDP - composition, by end use: | exports of goods and services: 42.5% |
| GDP - composition, by end use: | imports of goods and services: -41.3% |
| GDP - composition, by end use: | (2011 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.8% |
| GDP - composition, by sector of origin: | industry: 25.3% |
| GDP - composition, by sector of origin: | services: 72.8% (2012 est.) |
| Agriculture - products: | wheat, barley, oilseeds, sugar beets, wine, grapes; dairy products, cattle, sheep, pigs, poultry; fish |
| Industries: | among the world's largest and most technologically advanced, the EU industrial base includes: ferrous and non-ferrous metal production and processing, metal products, petroleum, coal, cement, chemicals, pharmaceuticals, aerospace, rail transportation equipment, passenger and commercial vehicles, construction equipment, industrial equipment, shipbuilding, electrical power equipment, machine tools and automated manufacturing systems, electronics and telecommunications equipment, fishing, food and beverage processing, furniture, paper, textiles |
| Industrial production growth rate: | -1.8% (2012 est.) |
| Labor force: | 229.9 million (2012 est.) |
| Labor force - by occupation: | agriculture: 5.3% |
| Labor force - by occupation: | industry: 22.9% |
| Labor force - by occupation: | services: 71.8% (2011 est.) |
| Unemployment rate: | 10.2% (2012 est.) |
| Unemployment rate: | 9.4% (2011) |
| Population below poverty line: | note - see individual country entries of member states |
| Household income or consumption by percentage share: | lowest 10%: 2.9% |
| Household income or consumption by percentage share: | highest 10%: 24% (2011 est.) |
| Distribution of family income - Gini index: | 30.7 (2011 est.) |
| Distribution of family income - Gini index: | 31.2 (1996 est.) |
| Fiscal year: | NA |
| Inflation rate (consumer prices): | 2.6% (2012 est.) |
| Inflation rate (consumer prices): | 1.8% (2011 est.) |
| Central bank discount rate: | 1.5% (31 December 2012) |
| Central bank discount rate: | 1.75% (31 December 2011) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 5.9% (31 December 2010 est.) |
| Commercial bank prime lending rate: | 7.52% (31 December 2009 est.) |
| Stock of narrow money: | $6.205 trillion (31 December 2011) |
| Stock of narrow money: | $5.542 trillion (31 December 2010) |
| Stock of narrow money: | note: this is the quantity of money, M1, for the euro area, converted into US dollars at the exchange rate for the date indicated; it excludes the stock of money carried by non-euro-area members of the European Union |
| Stock of broad money: | $12.27 trillion (31 December 2011 est.) |
| Stock of broad money: | $11.17 trillion (31 December 2010 est.) |
| Stock of broad money: | note: this is the quantity of broad money for the euro area, converted into US dollars at the exchange rate for the date indicated; it excludes the stock of broad money carried by non-euro-area members of the European Union |
| Stock of domestic credit: | $21.29 trillion (31 December 2011 est.) |
| Stock of domestic credit: | $21.81 trillion (31 December 2010 est.) |
| Stock of domestic credit: | note: this figure refers to the euro area only; it excludes credit data for non-euro-area members of the EU |
| Market value of publicly traded shares: | $7.565 trillion (31 December 2011 est.) |
| Market value of publicly traded shares: | $10.5 trillion (31 December 2010) |
| Market value of publicly traded shares: | $9.823 trillion (31 December 2009 est.) |
| Current account balance: | $-34.49 billion (2011 est.) |
| Current account balance: | $-5.73 billion (2010 est.) |
| Exports: | $2.17 trillion (2011 est.) |
| Exports: | $1.791 trillion (2010 est.) |
| Exports: | note: external exports, excluding intra-EU trade |
| Exports - commodities: | machinery, motor vehicles, pharmaceuticals and other chemicals, fuels, aircraft, plastics, iron and steel, wood pulp and paper products, alcoholic beverages, furniture |
| Imports: | $2.397 trillion (2011 est.) |
| Imports: | $2.028 trillion (2010 est.) |
| Imports: | note: external imports, excluding intra-EU trade |
| Imports - commodities: | fuels and crude oil, machinery, vehicles, pharmaceuticals and other chemicals, precious gemstones, textiles, aircraft, plastics, metals, ships |
| Reserves of foreign exchange and gold: | $812.1 billion (31 December 2011) |
| Reserves of foreign exchange and gold: | note: $863.8 billion (31 December 2011); this includes reserves held by the European Central Bank and euro-zone national central banks; it excludes reserves for non-euro-area members of the EU |
| Debt - external: | $15.5 trillion (31 December 2012) |
| Debt - external: | $14.78 trillion (31 December 2011) |
| Stock of direct foreign investment - at home: | $NA |
| Exchange rates: | euros per US dollar - |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.72 (2011 est.) |
| Exchange rates: | 0.76 (2010 est.) |
| Exchange rates: | 0.72 (2009 est.) |
| Exchange rates: | 0.68 (2008 est.) |
