| Economy | Papua New Guinea |
| Current account balance: | $4.569 billion (2016 est.) |
| Exports: | $8.522 billion (2017 est.) |
| Exports: | $9.224 billion (2016 est.) |
| Exports - partners: | Australia 18.9%, Singapore 17.5%, Japan 13.8%, China 12.7%, Philippines 4.7%, Netherlands 4.2%, India 4.2% (2017) |
| Exports - commodities: | liquefied natural gas, oil, gold, copper ore, nickel, cobalt logs, palm oil, coffee, cocoa, copra, spice (turmeric, vanilla, ginger, and cardamom), crayfish, prawns, tuna, sea cucumber |
| Imports: | $1.876 billion (2017 est.) |
| Imports: | $2.077 billion (2016 est.) |
| Imports - commodities: | machinery and transport equipment, manufactured goods, food, fuels, chemicals |
| Imports - partners: | Australia 30.1%, China 17.3%, Singapore 10.2%, Malaysia 8.2%, Indonesia 4% (2017) |
| Reserves of foreign exchange and gold: | $1.735 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $1.656 billion (31 December 2016 est.) |
| Debt - external: | $17.94 billion (31 December 2017 est.) |
| Debt - external: | $18.28 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | NA |
| Stock of direct foreign investment - abroad: | NA |
| Exchange rates: | kina (PGK) per US dollar - |
| Exchange rates: | 3.179 (2017 est.) |
| Exchange rates: | 3.133 (2016 est.) |
| Exchange rates: | 3.133 (2015 est.) |
| Exchange rates: | 2.7684 (2014 est.) |
| Exchange rates: | 2.4614 (2013 est.) |
