| Economy | PAPUA NEW GUINEA |
| Imports: | $2.267 billion (2015 est.) |
| Imports: | $4.008 billion (2014 est.) |
| Imports - commodities: | machinery and transport equipment, manufactured goods, food, fuels, chemicals |
| Imports - partners: | Australia 25.9%, China 20%, Singapore 12.6%, Malaysia 7.2%, US 4.2%, Indonesia 4.1%, South Korea 4% (2015) |
| Reserves of foreign exchange and gold: | $1.738 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $2.305 billion (31 December 2014 est.) |
| Debt - external: | $20.41 billion (31 December 2015 est.) |
| Debt - external: | $20.05 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | kina (PGK) per US dollar - |
| Exchange rates: | 2.7684 (2015 est.) |
| Exchange rates: | 2.4614 (2014 est.) |
| Exchange rates: | 2.4614 (2013 est.) |
| Exchange rates: | 2.08 (2012 est.) |
| Exchange rates: | 2.371 (2011 est.) |
