| Economy | Chile |
| GDP - composition, by sector of origin: | agriculture: 3.6% |
| GDP - composition, by sector of origin: | industry: 36% |
| GDP - composition, by sector of origin: | services: 60.4% (2012 est.) |
| Agriculture - products: | grapes, apples, pears, onions, wheat, corn, oats, peaches, garlic, asparagus, beans; beef, poultry, wool; fish; timber |
| Industries: | copper, lithium, other minerals, foodstuffs, fish processing, iron and steel, wood and wood products, transport equipment, cement, textiles |
| Industrial production growth rate: | 4.8% (2012 est.) |
| Labor force: | 8.234 million (2012 est.) |
| Labor force - by occupation: | agriculture: 13.2% |
| Labor force - by occupation: | industry: 23% |
| Labor force - by occupation: | services: 63.9% (2005) |
| Unemployment rate: | 6.3% (2012 est.) |
| Unemployment rate: | 6.6% (2011 est.) |
| Population below poverty line: | 15.1% (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.5% |
| Household income or consumption by percentage share: | highest 10%: 42.8% (2009 est.) |
| Distribution of family income - Gini index: | 52.1 (2009) |
| Distribution of family income - Gini index: | 57.1 (2000) |
| Budget: | revenues: $58.81 billion |
| Budget: | expenditures: $57.38 billion (2012 est.) |
| Taxes and other revenues: | 22.2% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | 0.5% of GDP (2012 est.) |
| Public debt: | 11.9% of GDP (2012 est.) |
| Public debt: | 11.1% of GDP (2011 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3% (2012 est.) |
| Inflation rate (consumer prices): | 3.3% (2011 est.) |
| Central bank discount rate: | 3.12% (31 December 2010 est.) |
| Central bank discount rate: | 0.5% (31 December 2009 est.) |
| Commercial bank prime lending rate: | 10.06% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 9.03% (31 December 2011 est.) |
| Stock of narrow money: | $40.95 billion (31 December 2012 est.) |
| Stock of narrow money: | $34.54 billion (31 December 2011 est.) |
| Stock of broad money: | $193.2 billion (31 December 2011 est.) |
| Stock of broad money: | $191.7 billion (31 December 2010 est.) |
| Stock of domestic credit: | $202.5 billion (31 December 2012 est.) |
| Stock of domestic credit: | $164.1 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $270.3 billion (31 December 2011) |
| Market value of publicly traded shares: | $341.6 billion (31 December 2010) |
| Market value of publicly traded shares: | $209.5 billion (31 December 2009) |
| Current account balance: | $-9.499 billion (2012 est.) |
| Current account balance: | $-3.281 billion (2011 est.) |
| Exports: | $78.28 billion (2012 est.) |
| Exports: | $81.46 billion (2011 est.) |
| Exports - commodities: | copper, fruit, fish products, paper and pulp, chemicals, wine |
| Exports - partners: | China 23.3%, US 12.3%, Japan 10.7%, South Korea 5.8%, Brazil 5.5% (2012) |
| Imports: | $74.86 billion (2012 est.) |
| Imports: | $70.91 billion (2011 est.) |
| Imports - commodities: | petroleum and petroleum products, chemicals, electrical and telecommunications equipment, industrial machinery, vehicles, natural gas |
| Imports - partners: | US 22.9%, China 18.2%, Argentina 6.6%, Brazil 6.5% (2012) |
| Reserves of foreign exchange and gold: | $41.65 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $41.94 billion (31 December 2011 est.) |
| Debt - external: | $112.7 billion (31 December 2012 est.) |
| Debt - external: | $96.24 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $192.8 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $162.5 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $91.3 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $70.21 billion (31 December 2011 est.) |
| Exchange rates: | Chilean pesos (CLP) per US dollar - |
| Exchange rates: | 486.49 (2012 est.) |
| Exchange rates: | 483.67 (2011 est.) |
| Exchange rates: | 510.25 (2010 est.) |
| Exchange rates: | 560.86 (2009) |
| Exchange rates: | 509.02 (2008) |
