| Economy | MALAWI |
| Population below poverty line: | 52.4% (2004 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3% |
| Household income or consumption by percentage share: | highest 10%: 31.9% (2004) |
| Distribution of family income - Gini index: | 39 (2004) |
| Budget: | revenues: $1.26 billion |
| Budget: | expenditures: $1.51 billion (2015 est.) |
| Taxes and other revenues: | 19.6% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -3.9% of GDP (2015 est.) |
| Public debt: | 54.2% of GDP (2015 est.) |
| Public debt: | 58.5% of GDP (2014 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 21.2% (2015 est.) |
| Inflation rate (consumer prices): | 24.4% (2014 est.) |
| Central bank discount rate: | 15% (31 December 2009) |
| Central bank discount rate: | 15% (31 December 2008) |
| Commercial bank prime lending rate: | 44.9% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 44.29% (31 December 2014 est.) |
| Stock of narrow money: | $512.3 million (31 December 2015 est.) |
| Stock of narrow money: | $567.9 million (31 December 2014 est.) |
| Stock of broad money: | $1.481 billion (31 December 2014 est.) |
| Stock of broad money: | $1.2 billion (31 December 2013 est.) |
| Stock of domestic credit: | $724.5 million (31 December 2015 est.) |
| Stock of domestic credit: | $826.6 million (31 December 2014 est.) |
| Market value of publicly traded shares: | $753.6 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.384 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $1.363 billion (31 December 2010 est.) |
| Current account balance: | -$568 million (2015 est.) |
| Current account balance: | -$494 million (2014 est.) |
| Exports: | $1.278 billion (2015 est.) |
| Exports: | $1.528 billion (2014 est.) |
| Exports - commodities: | tobacco 53%, tea, sugar, cotton, coffee, peanuts, wood products, apparel (2010 est.) |
| Exports - partners: | Belgium 15.8%, Zimbabwe 12%, India 6.9%, South Africa 6.2%, US 6%, Russia 5.6%, Germany 4.6% (2015) |
| Imports: | $2.607 billion (2015 est.) |
| Imports: | $2.744 billion (2014 est.) |
| Imports - commodities: | food, petroleum products, semi-manufactures, consumer goods, transportation equipment |
| Imports - partners: | South Africa 26.4%, China 16.7%, India 12%, Zambia 10.3%, Tanzania 6% (2015) |
| Reserves of foreign exchange and gold: | $693.1 million (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $625.2 million (31 December 2014 est.) |
| Debt - external: | $1.715 billion (31 December 2015 est.) |
| Debt - external: | $1.637 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Malawian kwachas (MWK) per US dollar - |
| Exchange rates: | 499.6 (2015 est.) |
| Exchange rates: | 424.9 (2014 est.) |
| Exchange rates: | 424.9 (2013 est.) |
| Exchange rates: | 249.11 (2012 est.) |
| Exchange rates: | 156.93 (2011 est.) |
