| Economy | MALAWI |
| Household income or consumption by percentage share: | lowest 10%: 2.2% |
| Household income or consumption by percentage share: | highest 10%: 37.5% (2010 est.) |
| Distribution of family income - Gini index: | 46.1 (2010) |
| Distribution of family income - Gini index: | 39.9 (2004) |
| Budget: | revenues: $1.109 billion |
| Budget: | expenditures: $1.409 billion (2016 est.) |
| Taxes and other revenues: | 20.2% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -5.5% of GDP (2016 est.) |
| Public debt: | 56.1% of GDP (2016 est.) |
| Public debt: | 40.5% of GDP (2015 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 21.7% (2016 est.) |
| Inflation rate (consumer prices): | 21.9% (2015 est.) |
| Central bank discount rate: | 24% (25 November 2016) |
| Central bank discount rate: | 27% (July 2016) |
| Commercial bank prime lending rate: | 44.1% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 44.39% (31 December 2015 est.) |
| Stock of narrow money: | $536.6 million (31 December 2016 est.) |
| Stock of narrow money: | $478.4 million (31 December 2015 est.) |
| Stock of broad money: | $1.238 billion (31 December 2016 est.) |
| Stock of broad money: | $1.172 billion (31 December 2015 est.) |
| Stock of domestic credit: | $1.054 billion (31 December 2016 est.) |
| Stock of domestic credit: | $812.4 million (31 December 2015 est.) |
| Market value of publicly traded shares: | $796.2 million (31 December 2016 est.) |
| Market value of publicly traded shares: | $936.3 million (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.341 billion (31 December 2014 est.) |
| Current account balance: | $-739 million (2016 est.) |
| Current account balance: | $-714.9 million (2015 est.) |
| Exports: | $1.361 billion (2016 est.) |
| Exports: | $1.438 billion (2015 est.) |
| Exports - commodities: | tobacco 55%, dried legumes (8.8%), sugar (6.7%), tea (5.7%), cotton (2%), peanuts, coffee, soy (2015 est.) |
| Exports - partners: | Zimbabwe 12.9%, Mozambique 11%, Belgium 8.2%, South Africa 7.2%, US 6%, China 4.6%, Germany 4.3%, UK 4.2% (2016) |
| Imports: | $2.318 billion (2016 est.) |
| Imports: | $2.146 billion (2015 est.) |
| Imports - commodities: | food, petroleum products, semi-manufactures, consumer goods, transportation equipment |
| Imports - partners: | South Africa 20.2%, China 13.8%, India 10.8%, UAE 9.7%, Zambia 5.7% (2016) |
| Reserves of foreign exchange and gold: | $563.1 million (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $701.5 million (31 December 2015 est.) |
| Debt - external: | $1.985 billion (31 December 2016 est.) |
| Debt - external: | $1.766 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $800 million (2015) |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Malawian kwachas (MWK) per US dollar - |
| Exchange rates: | 713.85 (2016 est.) |
| Exchange rates: | 713.85 (2015 est.) |
| Exchange rates: | 499.6 (2014 est.) |
| Exchange rates: | 424.9 (2013 est.) |
| Exchange rates: | 249.11 (2012 est.) |
