| Economy | Indonesia |
| Commercial bank prime lending rate: | note: these figures represent the average annualized rate on working capital loans |
| Stock of narrow money: | $82.99 billion (31 December 2013 est.) |
| Stock of narrow money: | $87.04 billion (31 December 2012 est.) |
| Stock of broad money: | $325 billion (31 December 2013 est.) |
| Stock of broad money: | $342 billion (31 December 2012 est.) |
| Stock of domestic credit: | $336.2 billion (31 December 2013 est.) |
| Stock of domestic credit: | $350 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $396.8 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $390.1 billion (31 December 2011) |
| Market value of publicly traded shares: | $360.4 billion (31 December 2010 est.) |
| Current account balance: | -$28.72 billion (2013 est.) |
| Current account balance: | -$24.07 billion (2012 est.) |
| Exports: | $178.9 billion (2013 est.) |
| Exports: | $187.3 billion (2012 est.) |
| Exports - commodities: | oil and gas, electrical appliances, plywood, textiles, rubber |
| Exports - partners: | Japan 15.9%, China 11.4%, Singapore 9%, South Korea 7.9%, US 7.8%, India 6.6%, Malaysia 5.9% (2012) |
| Imports: | $178.6 billion (2013 est.) |
| Imports: | $178.7 billion (2012 est.) |
| Imports - commodities: | machinery and equipment, chemicals, fuels, foodstuffs |
| Imports - partners: | China 15.3%, Singapore 13.6%, Japan 11.9%, Malaysia 6.4%, South Korea 6.2%, US 6.1%, Thailand 6% (2012) |
| Reserves of foreign exchange and gold: | $83.45 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $112.8 billion (31 December 2012 est.) |
| Debt - external: | $223.8 billion (31 December 2013 est.) |
| Debt - external: | $224.1 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $207.2 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $192.7 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $17.41 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $14.81 billion (31 December 2012 est.) |
| Exchange rates: | Indonesian rupiah (IDR) per US dollar - |
| Exchange rates: | 10,341.6 (2013 est.) |
| Exchange rates: | 9,386.63 (2012 est.) |
| Exchange rates: | 9,090.4 (2010 est.) |
| Exchange rates: | 10,389.9 (2009) |
| Exchange rates: | 9,698.9 (2008) |
