| Economy | SWITZERLAND |
| Imports - partners: | Germany 28%, Italy 9.7%, France 8.1%, US 6.6%, China 6.5%, Austria 4.7% (2014) |
| Reserves of foreign exchange and gold: | $536.3 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $535.9 billion (31 December 2013 est.) |
| Debt - external: | $1.544 trillion (31 December 2012 est.) |
| Debt - external: | $1.424 trillion (31 December 2011) |
| Stock of direct foreign investment - at home: | $1.091 trillion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $1.062 trillion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $1.601 trillion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $1.536 trillion (31 December 2013 est.) |
| Exchange rates: | Swiss francs (CHF) per US dollar - |
| Exchange rates: | 0.9121 (2014 est.) |
| Exchange rates: | 0.9266 (2013 est.) |
| Exchange rates: | 0.94 (2012 est.) |
| Exchange rates: | 0.8876 (2011 est.) |
| Exchange rates: | 1.0429 (2010 est.) |
